index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
1	Bob Dylan	3	32	20	21	41	17	7	17	13	26	16	31
2	Bob Dylan	6	14	14	18	8	23	0	23	2	28	7	34
3	Bob Dylan	1	15	7	18	16	26	0	26	1	18	5	22
4	Bob Dylan	1	27	34	14	6	12	0	1	9	39	10	51
5	Bob Dylan	8	39	27	19	35	57	0	57	8	41	10	85
6	Bob Dylan	4	26	25	27	33	13	1	13	15	24	17	43
7	Bob Dylan	14	34	38	18	50	65	0	65	15	47	14	107
8	Bob Dylan	5	16	6	23	0	31	3	30	2	29	3	32
9	Bob Dylan	2	39	26	13	36	35	0	29	12	44	12	45
10	Bob Dylan	4	41	26	18	41	30	2	29	10	35	18	56
11	Bob Dylan	1	30	21	11	35	16	1	16	30	15	18	30
12	Bob Dylan	7	19	16	26	65	5	0	5	5	16	7	45
13	Bob Dylan	6	15	18	12	21	21	0	21	6	17	11	27
14	Bob Dylan	5	36	26	30	43	16	1	11	6	44	8	54
15	Bob Dylan	8	25	23	30	42	38	0	30	6	37	5	37
16	Bob Dylan	7	32	18	14	46	36	0	36	2	23	8	43
17	Bob Dylan	13	56	31	61	45	36	1	36	35	41	30	108
18	Bob Dylan	15	22	20	12	44	23	0	21	4	14	5	40
19	Bob Dylan	2	51	24	9	34	14	0	12	6	31	7	39
20	Bob Dylan	5	43	16	17	50	27	1	27	22	25	9	48
21	Bob Dylan	3	33	15	15	37	17	0	17	4	32	16	32
22	Bob Dylan	10	35	31	17	33	22	0	22	6	21	6	39
23	Bob Dylan	4	13	9	10	40	32	0	32	4	19	3	49
24	Bob Dylan	3	25	10	13	26	23	0	23	2	25	11	27
25	Bob Dylan	3	20	25	25	85	20	1	20	9	30	12	66
26	Bob Dylan	7	37	34	27	40	52	1	44	8	64	8	86
27	Bob Dylan	3	20	12	12	29	6	1	6	3	34	6	28
28	Bob Dylan	4	21	12	24	22	20	2	17	4	16	6	39
29	Bob Dylan	11	60	27	51	73	47	1	39	7	78	18	79
30	Bob Dylan	13	31	22	18	29	28	3	28	12	31	7	38
31	Bob Dylan	7	26	19	10	12	13	0	12	6	19	11	29
32	Bob Dylan	10	50	38	42	82	8	6	8	19	61	17	112
33	Bob Dylan	2	21	19	20	29	26	0	23	5	20	8	31
34	Bob Dylan	7	45	19	10	36	38	1	36	19	43	15	89
35	Bob Dylan	6	26	13	18	19	21	0	21	5	19	13	31
36	Bob Dylan	9	27	14	14	22	1	1	1	9	43	9	44
37	Bob Dylan	3	13	12	8	41	1	0	1	6	14	4	14
38	Bob Dylan	8	47	37	21	27	24	0	24	51	28	21	67
39	Bob Dylan	1	25	19	4	11	6	2	6	2	19	6	20
40	Bob Dylan	4	25	16	5	9	24	1	24	13	12	13	44
41	Bob Dylan	5	12	17	8	23	21	0	21	2	18	11	44
42	Bob Dylan	20	52	37	22	47	94	2	91	15	60	9	128
43	Bob Dylan	4	19	47	19	18	47	0	47	27	30	8	86
44	Bob Dylan	1	23	20	13	20	6	1	6	10	26	5	37
45	Bob Dylan	8	56	37	40	69	13	4	13	17	81	23	61
46	Bob Dylan	5	19	8	22	32	0	0	0	5	22	4	14
47	Bob Dylan	4	34	42	33	71	0	5	0	16	32	20	32
48	Bob Dylan	10	38	30	7	48	15	3	15	21	32	21	92
49	Bob Dylan	8	14	10	10	9	12	2	12	3	10	5	23
50	Bob Dylan	8	15	21	15	22	22	0	22	12	30	4	34
51	Bob Dylan	3	35	18	31	90	4	0	4	10	29	9	56
52	Bob Dylan	0	16	7	14	36	10	0	10	2	9	12	14
53	Bob Dylan	6	33	13	22	24	16	1	15	10	29	5	46
54	Bob Dylan	4	32	15	18	34	12	0	12	4	32	3	34
55	Bob Dylan	9	47	34	36	78	12	0	12	12	57	16	64
56	Bob Dylan	3	9	7	7	14	0	0	0	4	11	1	13
57	Bob Dylan	3	7	7	3	16	19	0	18	6	13	3	24
58	Bob Dylan	2	9	2	6	10	14	0	14	4	13	1	25
59	Bob Dylan	3	12	4	9	5	8	0	4	4	19	3	11
60	Bob Dylan	16	46	28	18	58	14	0	14	16	39	12	65
61	Bob Dylan	5	9	7	9	13	7	3	7	3	13	2	20
62	Bob Dylan	1	28	15	15	15	16	0	13	4	18	9	20
63	Bob Dylan	2	13	9	6	5	19	1	19	5	17	6	30
64	Bob Dylan	1	9	7	9	10	6	0	6	5	20	3	22
65	Bob Dylan	2	7	6	3	18	2	0	2	3	8	6	13
66	Bob Dylan	1	15	8	1	5	17	0	13	5	17	4	15
67	Bob Dylan	1	8	11	5	12	6	0	4	10	16	5	15
68	Bob Dylan	0	21	14	12	22	12	0	12	13	10	9	20
69	Bob Dylan	2	19	18	13	8	13	0	13	15	11	14	15
70	Bob Dylan	2	10	15	9	23	8	0	8	2	9	18	24
71	Bob Dylan	3	29	13	24	6	20	0	20	16	20	11	38
72	Bob Dylan	1	23	16	14	23	17	0	17	1	11	3	17
73	Bob Dylan	0	12	10	11	6	20	1	20	9	13	11	31
74	Bob Dylan	7	11	5	12	14	21	0	21	7	25	10	32
75	Bob Dylan	0	17	24	7	21	11	0	11	8	7	8	24
76	Bob Dylan	6	18	27	20	8	23	0	22	6	14	1	43
77	Bob Dylan	4	32	14	8	5	3	0	1	13	19	4	24
78	Bob Dylan	5	13	14	6	21	9	0	9	2	11	5	33
79	Bob Dylan	4	19	13	6	6	8	0	7	8	14	14	22
80	Bob Dylan	4	32	10	14	10	6	1	5	12	13	7	24
81	Bob Dylan	0	15	7	8	11	2	0	2	5	7	5	17
82	Bob Dylan	0	11	6	4	10	6	0	6	4	10	5	18
83	Bob Dylan	3	19	9	24	13	9	0	5	24	35	8	24
84	Bob Dylan	0	13	27	7	8	13	0	13	5	9	4	21
85	Bob Dylan	4	11	6	4	5	0	0	0	3	11	0	25
86	Bob Dylan	1	5	2	4	0	3	0	0	3	12	1	45
87	Bob Dylan	1	14	11	6	18	1	0	1	3	12	3	8
88	Bob Dylan	1	11	5	2	3	8	0	8	1	24	4	32
89	Bob Dylan	4	28	21	24	39	2	0	2	15	35	10	28
90	Bob Dylan	1	11	4	7	14	0	0	0	3	11	5	9
91	Bob Dylan	3	25	25	15	10	14	1	12	5	34	7	29
92	Bob Dylan	0	20	9	8	7	22	0	22	9	8	5	37
93	Bob Dylan	3	30	17	12	17	15	0	15	12	21	11	46
94	Bob Dylan	2	15	9	11	12	11	0	11	4	8	10	20
95	Bob Dylan	0	15	5	5	17	16	0	16	8	8	8	27
96	Bob Dylan	0	46	21	26	21	0	0	0	9	6	10	19
97	Bob Dylan	6	23	12	10	18	27	0	24	3	36	7	36
98	Bob Dylan	6	17	14	19	26	13	0	13	16	13	7	28
99	Bob Dylan	1	4	9	6	9	6	1	6	3	10	3	12
100	Bob Dylan	3	36	38	42	38	42	2	39	30	31	21	51
101	Bob Dylan	0	15	8	12	12	3	0	3	3	15	2	39
102	Bob Dylan	0	14	13	6	13	11	0	11	2	15	10	22
103	Bob Dylan	3	38	18	25	49	23	1	23	15	37	14	56
104	Bob Dylan	7	21	24	21	12	35	0	34	11	28	8	46
105	Bob Dylan	5	12	9	7	10	20	1	20	11	18	3	40
