file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt
bob_dylan.txt.tkzd.1.txt	3	32	20	21	41	17	7	17	13	26	16	31
bob_dylan.txt.tkzd.10.txt	4	41	26	18	41	30	2	29	10	35	18	56
bob_dylan.txt.tkzd.100.txt	3	36	38	42	38	42	2	39	30	31	21	51
bob_dylan.txt.tkzd.101.txt	0	15	8	12	12	3	0	3	3	15	2	39
bob_dylan.txt.tkzd.102.txt	0	14	13	6	13	11	0	11	2	15	10	22
bob_dylan.txt.tkzd.103.txt	3	38	18	25	49	23	1	23	15	37	14	56
bob_dylan.txt.tkzd.104.txt	7	21	24	21	12	35	0	34	11	28	8	46
bob_dylan.txt.tkzd.105.txt	5	12	9	7	10	20	1	20	11	18	3	40
bob_dylan.txt.tkzd.106.txt	6	47	35	17	46	46	0	46	11	71	31	103
bob_dylan.txt.tkzd.107.txt	15	26	11	14	27	24	1	23	16	26	11	49
bob_dylan.txt.tkzd.108.txt	0	21	10	7	4	28	1	14	5	27	2	31
bob_dylan.txt.tkzd.109.txt	0	8	4	4	7	8	1	5	1	14	5	24
bob_dylan.txt.tkzd.11.txt	1	30	21	11	35	16	1	16	30	15	18	30
bob_dylan.txt.tkzd.110.txt	2	3	4	5	6	10	0	10	1	9	5	13
bob_dylan.txt.tkzd.111.txt	13	51	31	33	38	60	1	57	17	44	8	104
bob_dylan.txt.tkzd.112.txt	3	33	17	12	11	21	1	21	13	23	10	24
bob_dylan.txt.tkzd.113.txt	17	31	26	19	29	56	1	55	9	40	7	91
bob_dylan.txt.tkzd.114.txt	1	25	12	10	30	0	1	0	11	22	19	26
bob_dylan.txt.tkzd.115.txt	9	23	13	17	53	0	0	0	9	29	4	44
bob_dylan.txt.tkzd.116.txt	3	30	21	16	32	25	0	17	10	56	7	51
bob_dylan.txt.tkzd.117.txt	3	11	6	4	6	14	0	13	4	20	3	25
bob_dylan.txt.tkzd.118.txt	5	21	17	11	19	16	0	16	12	28	10	55
bob_dylan.txt.tkzd.119.txt	1	24	21	7	45	0	4	0	11	39	13	46
bob_dylan.txt.tkzd.12.txt	7	19	16	26	65	5	0	5	5	16	7	45
bob_dylan.txt.tkzd.120.txt	3	31	22	19	19	30	0	30	13	10	10	43
bob_dylan.txt.tkzd.121.txt	3	41	12	26	19	2	0	0	12	18	32	60
bob_dylan.txt.tkzd.122.txt	4	29	19	21	29	0	3	0	15	32	11	68
bob_dylan.txt.tkzd.123.txt	6	29	10	31	13	34	0	31	18	43	11	64
bob_dylan.txt.tkzd.13.txt	6	15	18	12	21	21	0	21	6	17	11	27
bob_dylan.txt.tkzd.14.txt	5	36	26	30	43	16	1	11	6	44	8	54
bob_dylan.txt.tkzd.15.txt	8	25	23	30	42	38	0	30	6	37	5	37
bob_dylan.txt.tkzd.16.txt	7	32	18	14	46	36	0	36	2	23	8	43
bob_dylan.txt.tkzd.17.txt	13	56	31	61	45	36	1	36	35	41	30	108
bob_dylan.txt.tkzd.18.txt	15	22	20	12	44	23	0	21	4	14	5	40
bob_dylan.txt.tkzd.19.txt	2	51	24	9	34	14	0	12	6	31	7	39
bob_dylan.txt.tkzd.2.txt	6	14	14	18	8	23	0	23	2	28	7	34
bob_dylan.txt.tkzd.20.txt	5	43	16	17	50	27	1	27	22	25	9	48
bob_dylan.txt.tkzd.21.txt	3	33	15	15	37	17	0	17	4	32	16	32
bob_dylan.txt.tkzd.22.txt	10	35	31	17	33	22	0	22	6	21	6	39
bob_dylan.txt.tkzd.23.txt	4	13	9	10	40	32	0	32	4	19	3	49
bob_dylan.txt.tkzd.24.txt	3	25	10	13	26	23	0	23	2	25	11	27
bob_dylan.txt.tkzd.25.txt	3	20	25	25	85	20	1	20	9	30	12	66
bob_dylan.txt.tkzd.26.txt	7	37	34	27	40	52	1	44	8	64	8	86
bob_dylan.txt.tkzd.27.txt	3	20	12	12	29	6	1	6	3	34	6	28
bob_dylan.txt.tkzd.28.txt	4	21	12	24	22	20	2	17	4	16	6	39
bob_dylan.txt.tkzd.29.txt	11	60	27	51	73	47	1	39	7	78	18	79
bob_dylan.txt.tkzd.3.txt	1	15	7	18	16	26	0	26	1	18	5	22
bob_dylan.txt.tkzd.30.txt	13	31	22	18	29	28	3	28	12	31	7	38
bob_dylan.txt.tkzd.31.txt	7	26	19	10	12	13	0	12	6	19	11	29
bob_dylan.txt.tkzd.32.txt	10	50	38	42	82	8	6	8	19	61	17	112
bob_dylan.txt.tkzd.33.txt	2	21	19	20	29	26	0	23	5	20	8	31
bob_dylan.txt.tkzd.34.txt	7	45	19	10	36	38	1	36	19	43	15	89
bob_dylan.txt.tkzd.35.txt	6	26	13	18	19	21	0	21	5	19	13	31
bob_dylan.txt.tkzd.36.txt	9	27	14	14	22	1	1	1	9	43	9	44
bob_dylan.txt.tkzd.37.txt	3	13	12	8	41	1	0	1	6	14	4	14
bob_dylan.txt.tkzd.38.txt	8	47	37	21	27	24	0	24	51	28	21	67
bob_dylan.txt.tkzd.39.txt	1	25	19	4	11	6	2	6	2	19	6	20
bob_dylan.txt.tkzd.4.txt	1	27	34	14	6	12	0	1	9	39	10	51
bob_dylan.txt.tkzd.40.txt	4	25	16	5	9	24	1	24	13	12	13	44
bob_dylan.txt.tkzd.41.txt	5	12	17	8	23	21	0	21	2	18	11	44
bob_dylan.txt.tkzd.42.txt	20	52	37	22	47	94	2	91	15	60	9	128
bob_dylan.txt.tkzd.43.txt	4	19	47	19	18	47	0	47	27	30	8	86
bob_dylan.txt.tkzd.44.txt	1	23	20	13	20	6	1	6	10	26	5	37
bob_dylan.txt.tkzd.45.txt	8	56	37	40	69	13	4	13	17	81	23	61
bob_dylan.txt.tkzd.46.txt	5	19	8	22	32	0	0	0	5	22	4	14
bob_dylan.txt.tkzd.47.txt	4	34	42	33	71	0	5	0	16	32	20	32
bob_dylan.txt.tkzd.48.txt	10	38	30	7	48	15	3	15	21	32	21	92
bob_dylan.txt.tkzd.49.txt	8	14	10	10	9	12	2	12	3	10	5	23
bob_dylan.txt.tkzd.5.txt	8	39	27	19	35	57	0	57	8	41	10	85
bob_dylan.txt.tkzd.50.txt	8	15	21	15	22	22	0	22	12	30	4	34
bob_dylan.txt.tkzd.51.txt	3	35	18	31	90	4	0	4	10	29	9	56
bob_dylan.txt.tkzd.52.txt	0	16	7	14	36	10	0	10	2	9	12	14
bob_dylan.txt.tkzd.53.txt	6	33	13	22	24	16	1	15	10	29	5	46
bob_dylan.txt.tkzd.54.txt	4	32	15	18	34	12	0	12	4	32	3	34
bob_dylan.txt.tkzd.55.txt	9	47	34	36	78	12	0	12	12	57	16	64
bob_dylan.txt.tkzd.56.txt	3	9	7	7	14	0	0	0	4	11	1	13
bob_dylan.txt.tkzd.57.txt	3	7	7	3	16	19	0	18	6	13	3	24
bob_dylan.txt.tkzd.58.txt	2	9	2	6	10	14	0	14	4	13	1	25
bob_dylan.txt.tkzd.59.txt	3	12	4	9	5	8	0	4	4	19	3	11
bob_dylan.txt.tkzd.6.txt	4	26	25	27	33	13	1	13	15	24	17	43
bob_dylan.txt.tkzd.60.txt	16	46	28	18	58	14	0	14	16	39	12	65
bob_dylan.txt.tkzd.61.txt	5	9	7	9	13	7	3	7	3	13	2	20
bob_dylan.txt.tkzd.62.txt	1	28	15	15	15	16	0	13	4	18	9	20
bob_dylan.txt.tkzd.63.txt	2	13	9	6	5	19	1	19	5	17	6	30
bob_dylan.txt.tkzd.64.txt	1	9	7	9	10	6	0	6	5	20	3	22
bob_dylan.txt.tkzd.65.txt	2	7	6	3	18	2	0	2	3	8	6	13
bob_dylan.txt.tkzd.66.txt	1	15	8	1	5	17	0	13	5	17	4	15
bob_dylan.txt.tkzd.67.txt	1	8	11	5	12	6	0	4	10	16	5	15
bob_dylan.txt.tkzd.68.txt	0	21	14	12	22	12	0	12	13	10	9	20
bob_dylan.txt.tkzd.69.txt	2	19	18	13	8	13	0	13	15	11	14	15
bob_dylan.txt.tkzd.7.txt	14	34	38	18	50	65	0	65	15	47	14	107
bob_dylan.txt.tkzd.70.txt	2	10	15	9	23	8	0	8	2	9	18	24
bob_dylan.txt.tkzd.71.txt	3	29	13	24	6	20	0	20	16	20	11	38
bob_dylan.txt.tkzd.72.txt	1	23	16	14	23	17	0	17	1	11	3	17
bob_dylan.txt.tkzd.73.txt	0	12	10	11	6	20	1	20	9	13	11	31
bob_dylan.txt.tkzd.74.txt	7	11	5	12	14	21	0	21	7	25	10	32
bob_dylan.txt.tkzd.75.txt	0	17	24	7	21	11	0	11	8	7	8	24
bob_dylan.txt.tkzd.76.txt	6	18	27	20	8	23	0	22	6	14	1	43
bob_dylan.txt.tkzd.77.txt	4	32	14	8	5	3	0	1	13	19	4	24
bob_dylan.txt.tkzd.78.txt	5	13	14	6	21	9	0	9	2	11	5	33
bob_dylan.txt.tkzd.79.txt	4	19	13	6	6	8	0	7	8	14	14	22
bob_dylan.txt.tkzd.8.txt	5	16	6	23	0	31	3	30	2	29	3	32
bob_dylan.txt.tkzd.80.txt	4	32	10	14	10	6	1	5	12	13	7	24
bob_dylan.txt.tkzd.81.txt	0	15	7	8	11	2	0	2	5	7	5	17
bob_dylan.txt.tkzd.82.txt	0	11	6	4	10	6	0	6	4	10	5	18
bob_dylan.txt.tkzd.83.txt	3	19	9	24	13	9	0	5	24	35	8	24
bob_dylan.txt.tkzd.84.txt	0	13	27	7	8	13	0	13	5	9	4	21
bob_dylan.txt.tkzd.85.txt	4	11	6	4	5	0	0	0	3	11	0	25
bob_dylan.txt.tkzd.86.txt	1	5	2	4	0	3	0	0	3	12	1	45
bob_dylan.txt.tkzd.87.txt	1	14	11	6	18	1	0	1	3	12	3	8
bob_dylan.txt.tkzd.88.txt	1	11	5	2	3	8	0	8	1	24	4	32
bob_dylan.txt.tkzd.89.txt	4	28	21	24	39	2	0	2	15	35	10	28
