file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt	
phil_ochs.txt.tkzd.28.txt	2	15	17	9	30	2	0	0	11	58	7	32	
stuart_adamson.txt.tkzd.6.txt	0	76	62	19	15	18	2	16	7	13	48	25	
stuart_adamson.txt.tkzd.19.txt	2	40	14	19	18	20	0	16	12	23	16	37	
ian_curtis.txt.tkzd.13.txt	0	12	5	10	3	6	1	5	0	13	4	7	
pete_ham.txt.tkzd.13.txt	6	37	9	33	19	28	1	28	16	34	16	54	
elliott_smith.txt.tkzd.76.txt	3	7	6	11	25	7	0	6	1	11	1	9	
stuart_adamson.txt.tkzd.2.txt	10	60	35	35	54	28	0	26	14	40	7	46	
kurt_cobain.txt.tkzd.26.txt	4	16	11	26	19	15	0	12	14	21	10	31	
phil_ochs.txt.tkzd.11.txt	6	15	18	6	14	2	1	2	17	31	2	54	
stuart_adamson.txt.tkzd.5.txt	4	38	19	20	16	66	2	64	15	26	13	75	
pete_ham.txt.tkzd.20.txt	0	28	8	21	28	9	0	9	22	4	16	34	
kurt_cobain.txt.tkzd.13.txt	6	20	12	12	7	13	5	13	4	26	9	21	
pete_ham.txt.tkzd.1.txt	1	31	20	28	13	19	0	14	5	19	18	20	
ian_curtis.txt.tkzd.14.txt	13	37	20	18	4	16	0	3	5	16	31	10	
elliott_smith.txt.tkzd.85.txt	9	36	31	20	62	43	4	43	14	30	16	48	
phil_ochs.txt.tkzd.54.txt	8	40	44	22	49	1	3	1	16	36	23	57	
kurt_cobain.txt.tkzd.44.txt	1	11	12	19	36	3	0	3	15	24	6	15	
stuart_adamson.txt.tkzd.3.txt	6	36	38	11	41	14	0	12	6	31	31	19	
elliott_smith.txt.tkzd.45.txt	3	53	31	10	18	12	0	12	3	32	1	23	
pete_ham.txt.tkzd.31.txt	0	28	10	24	24	14	0	8	0	19	5	11	
elliott_smith.txt.tkzd.69.txt	1	12	17	9	8	11	0	11	12	19	7	12	
elliott_smith.txt.tkzd.44.txt	6	16	2	11	9	21	1	21	3	19	3	27	
pete_ham.txt.tkzd.19.txt	2	17	10	8	22	0	0	0	12	8	8	15	
phil_ochs.txt.tkzd.42.txt	1	11	9	11	10	4	3	0	4	25	4	17	
pete_ham.txt.tkzd.5.txt	1	26	8	15	37	2	0	2	3	9	0	10	
kurt_cobain.txt.tkzd.39.txt	2	10	4	0	1	7	0	7	8	7	0	18	
elliott_smith.txt.tkzd.70.txt	4	18	11	3	28	5	2	5	1	17	4	18	
phil_ochs.txt.tkzd.25.txt	0	12	15	21	24	3	0	1	21	39	7	31	
kurt_cobain.txt.tkzd.50.txt	0	21	4	13	18	4	1	0	5	13	6	15	
