file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.1.txt	-0.0198261756	0.0684931507	0.0340136054	0.0054347826	0	0	0	0.0410958904	0.0544217687	0.027173913	0.0050761421	0	0	0.0273972603	-0.0204081633	-0.0217391304	-0.0050761421	0	0	0.0179902565	0.021294619	-0.0033043626
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.10.txt	0.0083048387	0.0854700855	0.0381355932	0.0094339623	0.0018621974	0	0	0.047008547	0.0550847458	0.0226415094	0.0018621974	0	0	0.0384615385	-0.0169491525	-0.0132075472	0	0	0	0.0224836397	0.0210994999	0.0013841398
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.100.txt	0.0049232195	0.037037037	0.0573770492	0.0436893204	0.0070257611	0	0	0.049382716	0.0546448087	0.0315533981	0.0023419204	0.002283105	0	-0.012345679	0.0027322404	0.0121359223	0.0046838407	-0.002283105	0	0.0241881946	0.023367658	0.0008205366
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.101.txt	-0.0345520752	0.0266666667	0.048	0	0	0	0	0.04	0.056	0.0068493151	0.0063694268	0	0	-0.0133333333	-0.008	-0.0068493151	-0.0063694268	0	0	0.0124444444	0.0182031236	-0.0057586792
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.102.txt	-0.0498083049	0.0384615385	0.0236220472	0.0422535211	0.0068965517	0	0	0.0769230769	0.062992126	0.0211267606	0	0	0	-0.0384615385	-0.0393700787	0.0211267606	0.0068965517	0	0	0.0185389431	0.0268403272	-0.0083013842
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.103.txt	0.0388775129	0.0506329114	0.0519877676	0.0135501355	0	0	0	0.0189873418	0.0366972477	0.0189701897	0.0026385224	0	0	0.0316455696	0.0152905199	-0.0054200542	-0.0026385224	0	0	0.0193618024	0.0128822169	0.0064795855
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.104.txt	-0.1054593042	0.032967033	0.0290697674	0.004784689	0.0042016807	0	0	0.021978022	0.0988372093	0.043062201	0.012605042	0	0	0.010989011	-0.0697674419	-0.038277512	-0.0084033613	0	0	0.011837195	0.0294137457	-0.0175765507
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.105.txt	-0.1228214679	0.0277777778	0.0224719101	0.015625	0	0	0	0.037037037	0.0842696629	0.0520833333	0.0153061224	0	0	-0.0092592593	-0.0617977528	-0.0364583333	-0.0153061224	0	0	0.0109791146	0.0314493593	-0.0204702446
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.106.txt	0.0222800651	0.0786516854	0.0460704607	0.0066225166	0	0	0	0.0617977528	0.0298102981	0.0154525386	0.002004008	0	0	0.0168539326	0.0162601626	-0.0088300221	-0.002004008	0	0	0.0218907771	0.0181774329	0.0037133442
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.107.txt	-0.1163579294	0.0178571429	0.0454545455	0.0077220077	0.003649635	0.0035460993	0	0.0446428571	0.0818181818	0.0463320463	0.0182481752	0.0035460993	0	-0.0267857143	-0.0363636364	-0.0386100386	-0.0145985401	0	0	0.0130382384	0.0324312266	-0.0193929882
