suicide-class,TTR (typ/tok ratio),typ/time,tok/time,1P/typ,1P/tok,1P/time,1PS/typ,1PS/tok,1PS/time,(1PS+.01)/(1PP+.01),2-3P/typ,2-3P/tok,2-3P/time,1P to 2-3P:(1P+.01)/(2-3P+.01),LN(1P to 2-3P): ln[(1P+.01)/(2-3P+.01)],1PS to 2-3P:(1PS+.01)/(2-3P+.01),LN(1PS to 2-3P): ln[(1PS+.01)/(2-3P+.01)],1PS to All Other Pronouns:(1PS+.01)/(2-3P+1PP+.01),LN(1PS to All Other Pronouns): LN[(1PS+.01)/(2-3P+1PP+.01)],passive/tok,passive/typ,passive/time,(“I” + mental-verb)/tok,(“I” + mental-verb)/typ,(“I” + mental-verb)/time,neg/tok,neg/typ,neg/time,neut/tok,neut/typ,neut/time,pos/tok,pos/typ,pos/time,(neg+.01)/(pos+.01),ln[(neg+.01)/(pos+.01)],neg/polar,pos/polar,sensual/tok,sensual/typ,sensual/time,(sensual+.01)/(pos+.01),ln[(sensual+.01)/(pos+.01)],(sensual+.01)/(neg+.01),ln[(sensual+.01)/(neg+.01)],actionVerb/tok,actionVerb/typ,actionVerb/time,concreteNoun/tok,concreteNoun/typ,concreteNoun/time,death/tok,death/typ,death/time,drug/tok,drug/typ,drug/time,love/tok,love/typ,love/time,depression/tok,depression/typ,depression/time,total polar value,average polar value,diff between sums across all n-grams,% suicide 1-grams,% suicide 2-grams,% suicide 3-grams,% suicide 4-grams,% suicide 5-grams,% suicide 6-grams,% non-suicide 1-grams,% non-suicide 2-grams,% non-suicide 3-grams,% non-suicide 4-grams,% non-suicide 5-grams,% non-suicide 6-grams,diff for 1-gram %s,diff for 2-gram %s,diff for 3-gram %s,diff for 4-gram %s,diff for 5-gram %s,diff for 6-gram %s,average for all suicide n-gram %s,average for all non-suicide n-gram %s,diff between n-gram % averages,verb/token,adj/token,noun/token,pronoun/token,adv/token,adv_particle/token,conj_coord/token,prep_or_conj_subord/token,numeral/token,det/token,there_existential/token,verb/(adj+.01),verb/(adv+.01),verb/(noun+.01),verb/(pronoun+.01),adj/(noun+.01),adj/(pronoun+.01),adj/(adv+.01),noun/(pronoun+.01),noun/(adv+.01),adv/(pronoun+.01),conj_coord/(prep_or_conj_subord+.01)
non-suicide,0.306122449,0.3073770492,1.0040983607,0.2266666667,0.0693877551,0.0696721311,0.2266666667,0.0693877551,0.0696721311,1701,0.5466666667,0.1673469388,0.1680327869,0.4147768837,-0.880014533,0.4147768837,-0.880014533,0.4147768837,-0.880014533,0,0,0,0,0,0,0.106122449,0.3466666667,0.106557377,0.0857142857,0.28,0.0860655738,0.1306122449,0.4266666667,0.131147541,0.8125585754,-0.2075672745,0.4482758621,0.5517241379,0.0653061224,0.2133333333,0.0655737705,0.5001562012,-0.692834827,0.6155324875,-0.4852675525,0.0285714286,0.0933333333,0.0286885246,0.1265306122,0.4133333333,0.1270491803,0.0530612245,0.1733333333,0.0532786885,0.012244898,0.04,0.012295082,0.0816326531,0.2666666667,0.0819672131,0.0367346939,0.12,0.0368852459,-1,-0.0434782609,-0.0198261756,0.0684931507,0.0340136054,0.0054347826,0,0,0,0.0410958904,0.0544217687,0.027173913,0.0050761421,0,0,0.0273972603,-0.0204081633,-0.0217391304,-0.0050761421,0,0,0.0179902565,0.021294619,-0.0033043626,0.2569444444,0.0034722222,0.0868055556,0.2013888889,0.0520833333,0.0104166667,0.0833333333,0.0625,0,0.0277777778,0,73.2673267327,4.9300466356,2.9588164734,1.2756421307,0.0399840064,0.0172384072,0.0666222518,0.4309601793,1.6655562958,0.2585761076,1.3325930039
non-suicide,0.53930131,0.4920318725,0.9123505976,0.1214574899,0.0655021834,0.0597609562,0.1174089069,0.0633187773,0.0577689243,28.7227722772,0.1659919028,0.0895196507,0.0816733068,0.7317727384,-0.31228528,0.7073884418,-0.3461753413,0.6905498691,-0.370267087,0.019650655,0.036437247,0.0179282869,0.0283842795,0.0526315789,0.0258964143,0.076419214,0.1417004049,0.0697211155,0.03930131,0.0728744939,0.0358565737,0.0895196507,0.1659919028,0.0816733068,0.8536942209,-0.1581822044,0.4605263158,0.5394736842,0.03930131,0.0728744939,0.0358565737,0.4391611802,-0.8228887802,0.5144244502,-0.6647065758,0.0043668122,0.008097166,0.0039840637,0.1222707424,0.2267206478,0.1115537849,0.0218340611,0.04048583,0.0199203187,0.0087336245,0.016194332,0.0079681275,0.056768559,0.1052631579,0.0517928287,0.0524017467,0.0971659919,0.0478087649,-5,-0.1111111111,0.0083048387,0.0854700855,0.0381355932,0.0094339623,0.0018621974,0,0,0.047008547,0.0550847458,0.0226415094,0.0018621974,0,0,0.0384615385,-0.0169491525,-0.0132075472,0,0,0,0.0224836397,0.0210994999,0.0013841398,0.1531365314,0.0442804428,0.2029520295,0.1365313653,0.0461254613,0,0.0221402214,0.1162361624,0.0055350554,0.0904059041,0,3.4568929613,3.318672531,0.7544768657,1.1214700716,0.2181619853,0.3242805026,0.9596161535,1.4862856371,4.3982407037,0.3377921902,0.190445961
non-suicide,0.4234449761,0.6755725191,1.5954198473,0.2372881356,0.1004784689,0.1603053435,0.2203389831,0.0933014354,0.1488549618,12.9601328904,0.2146892655,0.0909090909,0.1450381679,1.1052354644,0.1000584022,1.0263088661,0.0259687405,0.951231407,-0.0499979159,0.0215311005,0.0508474576,0.034351145,0.0071770335,0.0169491525,0.0114503817,0.0741626794,0.1751412429,0.1183206107,0.1004784689,0.2372881356,0.1603053435,0.0861244019,0.2033898305,0.1374045802,0.8611496806,-0.1494869445,0.4626865672,0.5373134328,0.0502392344,0.1186440678,0.0801526718,0.5834490419,-0.5387981628,0.6775233796,-0.3893112183,0.004784689,0.011299435,0.0076335878,0.1220095694,0.2881355932,0.1946564885,0.0717703349,0.1694915254,0.1145038168,0.0071770335,0.0169491525,0.0114503817,0.0909090909,0.2146892655,0.1450381679,0.0645933014,0.1525423729,0.1030534351,43,1.2647058824,0.0049232195,0.037037037,0.0573770492,0.0436893204,0.0070257611,0,0,0.049382716,0.0546448087,0.0315533981,0.0023419204,0.002283105,0,-0.012345679,0.0027322404,0.0121359223,0.0046838407,-0.002283105,0,0.0241881946,0.023367658,0.0008205366,0.197826087,0.0586956522,0.1304347826,0.1782608696,0.0543478261,0.002173913,0.0391304348,0.1152173913,0.0086956522,0.0695652174,0.0043478261,3.3691225472,3.6385445822,1.516413931,1.109620778,0.4499250125,0.3292281429,1.0795681727,0.7316180954,2.3990403839,0.3048408731,0.3395585739
non-suicide,0.3897435897,0.4523809524,1.1607142857,0.0394736842,0.0153846154,0.0178571429,0.0394736842,0.0153846154,0.0178571429,301,0.1578947368,0.0615384615,0.0714285714,0.2506244796,-1.3837995573,0.2506244796,-1.3837995573,0.2506244796,-1.3837995573,0.0153846154,0.0394736842,0.0178571429,0,0,0,0.0769230769,0.1973684211,0.0892857143,0.0615384615,0.1578947368,0.0714285714,0.0769230769,0.1973684211,0.0892857143,1,0,0.5,0.5,0.0102564103,0.0263157895,0.0119047619,0.1339107262,-2.0105819236,0.1339107262,-2.0105819236,0,0,0,0.2,0.5131578947,0.2321428571,0.0153846154,0.0394736842,0.0178571429,0,0,0,0.041025641,0.1052631579,0.0476190476,0.0307692308,0.0789473684,0.0357142857,0,0,-0.0345520752,0.0266666667,0.048,0,0,0,0,0.04,0.056,0.0068493151,0.0063694268,0,0,-0.0133333333,-0.008,-0.0068493151,-0.0063694268,0,0,0.0124444444,0.0182031236,-0.0057586792,0.197309417,0.0582959641,0.2466367713,0.067264574,0.0627802691,0,0.0358744395,0.0852017937,0.0044843049,0.1031390135,0,3.3820138355,3.1406138473,0.7998545719,2.9313790806,0.236320669,0.8660892738,0.9279086367,3.6642238508,3.9257673091,0.9327115257,0.4208311415
non-suicide,0.4848484848,0.396039604,0.8168316832,0.1375,0.0666666667,0.0544554455,0.1375,0.0666666667,0.0544554455,1101,0.1625,0.0787878788,0.0643564356,0.8462720984,-0.1669143418,0.8462720984,-0.1669143418,0.8462720984,-0.1669143418,0,0,0,0,0,0,0.0909090909,0.1875,0.0742574257,0.0363636364,0.075,0.0297029703,0.0848484848,0.175,0.0693069307,1.0713775874,0.0689452853,0.5172413793,0.4827586207,0.0606060606,0.125,0.0495049505,0.7144896502,-0.336186767,0.6668887408,-0.4051320523,0,0,0,0.1333333333,0.275,0.1089108911,0.0121212121,0.025,0.0099009901,0,0,0,0.0787878788,0.1625,0.0643564356,0.0181818182,0.0375,0.0148514851,15,1.3636363636,-0.0498083049,0.0384615385,0.0236220472,0.0422535211,0.0068965517,0,0,0.0769230769,0.062992126,0.0211267606,0,0,0,-0.0384615385,-0.0393700787,0.0211267606,0.0068965517,0,0,0.0185389431,0.0268403272,-0.0083013842,0.1373626374,0.0659340659,0.2142857143,0.1318681319,0.0604395604,0,0.010989011,0.1373626374,0.010989011,0.1153846154,0,2.0815986678,2.2706630336,0.6408613176,1.0412328197,0.3076134325,0.4997917534,1.0899182561,1.6243231987,3.5422343324,0.4581424407,0.0799680128
non-suicide,0.4630681818,0.5948905109,1.2846715328,0.1411042945,0.0653409091,0.0839416058,0.1411042945,0.0653409091,0.0839416058,2301,0.3006134969,0.1392045455,0.1788321168,0.4694960212,-0.7560954549,0.4694960212,-0.7560954549,0.4694960212,-0.7560954549,0.0142045455,0.0306748466,0.0182481752,0.0056818182,0.0122699387,0.0072992701,0.1051136364,0.226993865,0.1350364964,0.0710227273,0.1533742331,0.0912408759,0.1079545455,0.2331288344,0.1386861314,0.9736911339,-0.0266611366,0.4933333333,0.5066666667,0.0397727273,0.0858895706,0.0510948905,0.3685872139,-0.9980779227,0.3785463388,-0.971416786,0.0028409091,0.0061349693,0.003649635,0.1590909091,0.3435582822,0.204379562,0.0426136364,0.0920245399,0.0547445255,0.0085227273,0.018404908,0.0109489051,0.0511363636,0.1104294479,0.0656934307,0.0397727273,0.0858895706,0.0510948905,-20,-0.5882352941,0.0388775129,0.0506329114,0.0519877676,0.0135501355,0,0,0,0.0189873418,0.0366972477,0.0189701897,0.0026385224,0,0,0.0316455696,0.0152905199,-0.0054200542,-0.0026385224,0,0,0.0193618024,0.0128822169,0.0064795855,0.2190721649,0.0412371134,0.1649484536,0.1881443299,0.043814433,0.0154639175,0.0412371134,0.1056701031,0.0051546392,0.0541237113,0.0025773196,5.3091817614,4.9970605526,1.3279175129,1.1642240789,0.2499609436,0.2191480619,0.9406231628,0.8765922476,3.7624926514,0.2328448158,0.3901487442
non-suicide,0.3692307692,0.4637681159,1.2560386473,0.3645833333,0.1346153846,0.1690821256,0.3541666667,0.1307692308,0.1642512077,33.6732673267,0.125,0.0461538462,0.0579710145,2.9150707744,1.0698940989,2.8318068276,1.0409149629,2.6141429669,0.9609363065,0.0307692308,0.0833333333,0.038647343,0.0115384615,0.03125,0.0144927536,0.1076923077,0.2916666667,0.1352657005,0.0807692308,0.21875,0.1014492754,0.0807692308,0.21875,0.1014492754,1.3331746787,0.2875630744,0.5714285714,0.4285714286,0.0307692308,0.0833333333,0.038647343,0.3812470252,-0.9643077538,0.2859692967,-1.2518708282,0,0,0,0.1769230769,0.4791666667,0.2222222222,0.0423076923,0.1145833333,0.0531400966,0.0269230769,0.0729166667,0.0338164251,0.0923076923,0.25,0.115942029,0.05,0.1354166667,0.0628019324,-7,-0.35,-0.1054593042,0.032967033,0.0290697674,0.004784689,0.0042016807,0,0,0.021978022,0.0988372093,0.043062201,0.012605042,0,0,0.010989011,-0.0697674419,-0.038277512,-0.0084033613,0,0,0.011837195,0.0294137457,-0.0175765507,0.1757188498,0.0287539936,0.1884984026,0.1501597444,0.0958466454,0.0159744409,0.0127795527,0.0766773163,0,0.0479233227,0,6.1043285239,1.8327224259,0.932045416,1.1699638375,0.1525165226,0.191448628,0.2999000333,1.2550521166,1.9660113296,0.6381620932,0.1665972511
non-suicide,0.6497175141,0.8041958042,1.2377622378,0.1739130435,0.1129943503,0.1398601399,0.1739130435,0.1129943503,0.1398601399,2001,0.0869565217,0.0564971751,0.0699300699,1.999000999,0.6926475553,1.999000999,0.6926475553,1.999000999,0.6926475553,0,0,0,0.0169491525,0.0260869565,0.020979021,0.1016949153,0.1565217391,0.1258741259,0.0395480226,0.0608695652,0.048951049,0.0677966102,0.1043478261,0.0839160839,1.4995836803,0.4051875231,0.6,0.4,0.0169491525,0.0260869565,0.020979021,0.2506244796,-1.3837995573,0.1671293726,-1.7889870804,0.0056497175,0.0086956522,0.006993007,0.2259887006,0.347826087,0.2797202797,0.0621468927,0.0956521739,0.0769230769,0.0282485876,0.0434782609,0.034965035,0.0508474576,0.0782608696,0.0629370629,0.0564971751,0.0869565217,0.0699300699,3,0.2142857143,-0.1228214679,0.0277777778,0.0224719101,0.015625,0,0,0,0.037037037,0.0842696629,0.0520833333,0.0153061224,0,0,-0.0092592593,-0.0617977528,-0.0364583333,-0.0153061224,0,0,0.0109791146,0.0314493593,-0.0204702446,0.19,0.025,0.2,0.145,0.085,0.005,0.035,0.08,0.005,0.055,0,7.5848303393,2.2339800118,0.9497625594,1.3098931403,0.1249687578,0.1723543606,0.2939447384,1.3788348845,2.3515579071,0.5860048259,0.4372267333
non-suicide,0.319286872,0.4746987952,1.486746988,0.2335025381,0.074554295,0.1108433735,0.2335025381,0.074554295,0.1108433735,4601,0.2335025381,0.074554295,0.1108433735,1,0,1,0,1,0,0.0064829822,0.0203045685,0.0096385542,0.0129659643,0.0406091371,0.0192771084,0.1150729335,0.3604060914,0.1710843373,0.0275526742,0.0862944162,0.0409638554,0.0761750405,0.2385786802,0.113253012,1.5105296745,0.4124603672,0.6016949153,0.3983050847,0.0502431118,0.1573604061,0.0746987952,0.6596468836,-0.4160506119,0.4366990565,-0.8285109791,0,0,0,0.1669367909,0.5228426396,0.2481927711,0.017828201,0.0558375635,0.0265060241,0.0097244733,0.0304568528,0.0144578313,0.056726094,0.1776649746,0.0843373494,0.0858995138,0.269035533,0.1277108434,-54,-1.1739130435,0.0222800651,0.0786516854,0.0460704607,0.0066225166,0,0,0,0.0617977528,0.0298102981,0.0154525386,0.002004008,0,0,0.0168539326,0.0162601626,-0.0088300221,-0.002004008,0,0,0.0218907771,0.0181774329,0.0037133442,0.209700428,0.0784593438,0.1611982882,0.1540656205,0.0256776034,0.002853067,0.0356633381,0.0542082739,0.0142653352,0.1126961484,0,2.6722414107,8.1621321488,1.3007698434,1.360985094,0.4866825945,0.50921211,3.0538589672,1.046199426,6.27429206,0.166651236,0.6577216522
non-suicide,0.4149659864,0.5545454545,1.3363636364,0.1967213115,0.0816326531,0.1090909091,0.1885245902,0.0782312925,0.1045454545,22.7821782178,0.2213114754,0.0918367347,0.1227272727,0.8889300259,-0.1177367576,0.8519067012,-0.1602782638,0.8214923242,-0.1966326852,0.0068027211,0.0163934426,0.0090909091,0.0102040816,0.0245901639,0.0136363636,0.0884353741,0.2131147541,0.1181818182,0.0476190476,0.1147540984,0.0636363636,0.0884353741,0.2131147541,0.1181818182,1,0,0.5,0.5,0.037414966,0.0901639344,0.05,0.4232987313,-0.8596771287,0.4232987313,-0.8596771287,0.0034013605,0.0081967213,0.0045454545,0.1666666667,0.4016393443,0.2227272727,0.0544217687,0.131147541,0.0727272727,0.0510204082,0.1229508197,0.0681818182,0.037414966,0.0901639344,0.05,0.0306122449,0.0737704918,0.0409090909,5,0.3846153846,-0.1163579294,0.0178571429,0.0454545455,0.0077220077,0.003649635,0.0035460993,0,0.0446428571,0.0818181818,0.0463320463,0.0182481752,0.0035460993,0,-0.0267857143,-0.0363636364,-0.0386100386,-0.0145985401,0,0,0.0130382384,0.0324312266,-0.0193929882,0.2228739003,0.0439882698,0.137829912,0.146627566,0.1114369501,0.0029325513,0.0557184751,0.0586510264,0,0.0439882698,0,5.0632911392,1.9994738227,1.6166773027,1.5196960608,0.3190810466,0.299940012,0.3946329913,0.9398120376,1.2365167061,0.7598480304,0.9495252374
