% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1 without Fiona Apple
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (253 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Mike Ness (43 songs)
%			4. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013  
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric
@ATTRIBUTE	det/tok	numeric

@DATA
non-suicide,0,0,0,0,0.28,-0.0419239465,0.0597826087,0.0050761421,0.0273972603,0.0312645491,-0.0069873244,0.0277777778
non-suicide,0.019650655,0.036437247,0.0179282869,0.0258964143,0.0728744939,-0.009298063,0.0471698113,0.0074487896,0.0384615385,0.0303559371,-0.0015496772,0.0904059041
non-suicide,0.0215311005,0.0508474576,0.034351145,0.0114503817,0.2372881356,-0.0268065382,0.072815534,0.0163934426,-0.012345679,0.0407833224,-0.0044677564,0.0695652174
non-suicide,0.0153846154,0.0394736842,0.0178571429,0,0.1578947368,-0.0837701465,0.0410958904,0.0127388535,-0.0133333333,0.0423057907,-0.0139616911,0.1031390135
non-suicide,0,0,0,0,0.075,-0.0401250629,0.0422535211,0.0137931034,-0.0384615385,0.0352849765,-0.0066875105,0.1153846154
non-suicide,0.0142045455,0.0306748466,0.0182481752,0.0072992701,0.1533742331,0.0100368575,0.054200542,0.0052770449,0.0316455696,0.025819588,0.0016728096,0.0541237113
non-suicide,0.0307692308,0.0833333333,0.038647343,0.0144927536,0.21875,-0.1284040808,0.1004784689,0.0168067227,0.010989011,0.0513113108,-0.0214006801,0.0479233227
non-suicide,0,0,0,0.020979021,0.0608695652,-0.229840118,0.1145833333,0.0306122449,-0.0092592593,0.055567012,-0.0383066863,0.055
non-suicide,0.0064829822,0.0203045685,0.0096385542,0.0192771084,0.0862944162,0.0139752685,0.0286975717,0.006012024,0.0168539326,0.0331096751,0.0023292114,0.1126961484
non-suicide,0.0068027211,0.0163934426,0.0090909091,0.0136363636,0.1147540984,-0.2077721278,0.0965250965,0.0437956204,-0.0267857143,0.0586910062,-0.034628688,0.0439882698
