file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.1.txt	0.0656142899	0.0449438202	0.0884353741	0.0709677419	0.0189873418	0.00625	0	0.0561797753	0.0884353741	0.0193548387	0	0	0	-0.0112359551	0	0.0516129032	0.0189873418	0.00625	0	0.0382640463	0.0273283314	0.010935715
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.10.txt	0.0136872353	0.0416666667	0.0657894737	0.0243902439	0.0229885057	0	0	0	0.1052631579	0.0243902439	0.0114942529	0	0	0.0416666667	-0.0394736842	0	0.0114942529	0	0	0.025805815	0.0235246091	0.0022812059
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.11.txt	-0.1653259316	0.018018018	0.0540540541	0.0050505051	0.0049261084	0	0	0.0810810811	0.0810810811	0.0606060606	0.0197044335	0.0049019608	0	-0.0630630631	-0.027027027	-0.0555555556	-0.0147783251	-0.0049019608	0	0.0136747809	0.0412291028	-0.0275543219
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.12.txt	-0.1	0.0543478261	0.0649350649	0.0242424242	0	0	0	0.0543478261	0.1103896104	0.0787878788	0	0	0	0	-0.0454545455	-0.0545454545	0	0	0	0.0239208859	0.0405875525	-0.0166666667
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.13.txt	-0.1853620636	0.0471698113	0.0473684211	0.0390243902	0.0047169811	0	0	0.1226415094	0.0947368421	0.0780487805	0.0235849057	0.0046296296	0	-0.0754716981	-0.0473684211	-0.0390243902	-0.0188679245	-0.0046296296	0	0.0230466006	0.0539402779	-0.0308936773
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.14.txt	-0.1169563922	0	0.0425531915	0.0792079208	0.0485436893	0.0096153846	0	0.0819672131	0.1063829787	0.0891089109	0.0194174757	0	0	-0.0819672131	-0.0638297872	-0.0099009901	0.0291262136	0.0096153846	0	0.0299866977	0.0494794297	-0.019492732
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.15.txt	0.014062708	0.0405405405	0.0714285714	0.052173913	0	0	0	0	0.0892857143	0.052173913	0.0086206897	0	0	0.0405405405	-0.0178571429	0	-0.0086206897	0	0	0.0273571708	0.0250133862	0.0023437847
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.16.txt	-0.0789522203	0.0461538462	0.0707964602	0.0483870968	0	0	0	0.0615384615	0.0796460177	0.064516129	0.0234375	0.0151515152	0	-0.0153846154	-0.0088495575	-0.0161290323	-0.0234375	-0.0151515152	0	0.0275562339	0.0407149372	-0.0131587034
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.17.txt	-0.0132863014	0.0675675676	0.0277777778	0.025862069	0.0168067227	0.0083333333	0	0.0405405405	0.1018518519	0.0172413793	0	0	0	0.027027027	-0.0740740741	0.0086206897	0.0168067227	0.0083333333	0	0.0243912451	0.0266056286	-0.0022143836
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.18.txt	-0.1028649971	0.0579710145	0.0093457944	0.0085470085	0	0	0	0.0434782609	0.0841121495	0.0427350427	0.0084033613	0	0	0.0144927536	-0.0747663551	-0.0341880342	-0.0084033613	0	0	0.0126439696	0.0297881357	-0.0171441662
