file	total polar value	average polar value
bob_dylan1	-1	-0.0434782609
bob_dylan10	-5	-0.1111111111
bob_dylan100	43	1.2647058824
bob_dylan101	0	0
bob_dylan102	15	1.3636363636
bob_dylan103	-20	-0.5882352941
bob_dylan104	-7	-0.35
bob_dylan105	3	0.2142857143
bob_dylan106	-54	-1.1739130435
bob_dylan107	5	0.3846153846
bob_dylan108	18	1.0588235294
bob_dylan109	-7	-1.75
bob_dylan11	-13	-0.6842105263
bob_dylan110	-3	-1
bob_dylan111	-16	-0.5
bob_dylan112	40	1.3793103448
bob_dylan113	1	0.0416666667
bob_dylan114	-3	-0.1578947368
bob_dylan115	-16	-0.6956521739
bob_dylan116	-30	-0.7142857143
bob_dylan117	6	0.8571428571
bob_dylan118	-13	-0.7647058824
bob_dylan119	-28	-0.9655172414
bob_dylan12	-2	-0.125
bob_dylan120	16	0.8888888889
bob_dylan121	3	0.25
bob_dylan122	-41	-1.1081081081
bob_dylan123	-30	-1.4285714286
bob_dylan13	5	0.3571428571
bob_dylan14	6	0.24
bob_dylan15	-5	-0.625
bob_dylan16	-2	-0.05
bob_dylan17	-6	-0.2222222222
bob_dylan18	14	0.8235294118
bob_dylan19	31	0.8157894737
bob_dylan2	5	0.625
bob_dylan20	5	0.2631578947
bob_dylan21	22	0.7857142857
bob_dylan22	9	0.4090909091
bob_dylan23	-1	-0.0666666667
bob_dylan24	0	0
bob_dylan25	5	0.1515151515
bob_dylan26	8	0.380952381
bob_dylan27	-4	-0.2666666667
bob_dylan28	7	0.5
bob_dylan29	-24	-0.4363636364
bob_dylan3	2	0.2222222222
bob_dylan30	-10	-0.4347826087
bob_dylan31	12	1.0909090909
bob_dylan32	15	0.306122449
bob_dylan33	4	0.4
bob_dylan34	0	0
bob_dylan35	19	0.95
bob_dylan36	-9	-0.3103448276
bob_dylan37	4	0.5
bob_dylan38	-15	-0.5
bob_dylan39	28	1
bob_dylan4	-12	-0.3243243243
bob_dylan40	20	1.1111111111
bob_dylan41	-8	-1.1428571429
bob_dylan42	7	0.2333333333
bob_dylan43	-21	-0.7
bob_dylan44	-18	-0.6428571429
bob_dylan45	-42	-0.724137931
bob_dylan46	-11	-0.9166666667
bob_dylan47	22	0.8148148148
bob_dylan48	-14	-0.2978723404
bob_dylan49	10	0.9090909091
bob_dylan5	9	0.3913043478
bob_dylan50	-3	-0.5
bob_dylan51	4	0.4444444444
bob_dylan52	-7	-0.875
bob_dylan53	-7	-0.3684210526
bob_dylan54	11	0.44
bob_dylan55	-3	-0.0810810811
bob_dylan56	-5	-0.625
bob_dylan57	2	0.25
bob_dylan58	-6	-0.3529411765
bob_dylan59	5	1
bob_dylan6	-2	-0.0909090909
bob_dylan60	-7	-0.2413793103
bob_dylan61	-13	-0.8666666667
bob_dylan62	8	0.5
bob_dylan63	-9	-0.6428571429
bob_dylan64	-17	-0.6296296296
bob_dylan65	-3	-0.5
bob_dylan66	26	2.6
bob_dylan67	-7	-1
bob_dylan68	3	0.2307692308
bob_dylan69	9	0.6
bob_dylan7	0	0
bob_dylan70	10	1.1111111111
bob_dylan71	-11	-0.7333333333
bob_dylan72	-2	-0.25
bob_dylan73	13	1.4444444444
bob_dylan74	-1	-0.1111111111
bob_dylan75	3	0.75
bob_dylan76	21	1.05
bob_dylan77	8	0.6153846154
bob_dylan78	1	0.1666666667
bob_dylan79	14	1.4
bob_dylan8	-17	-0.7727272727
bob_dylan80	13	1.1818181818
bob_dylan81	19	2.1111111111
bob_dylan82	4	0.5
bob_dylan83	22	1.4666666667
bob_dylan84	10	1.25
bob_dylan85	-2	-0.5
bob_dylan86	4	0.8
bob_dylan87	11	1.375
bob_dylan88	20	1.5384615385
bob_dylan89	2	0.1111111111
bob_dylan9	14	0.4827586207
bob_dylan90	-3	-0.5
bob_dylan91	27	1.5882352941
bob_dylan92	7	0.875
bob_dylan93	8	0.5333333333
bob_dylan94	8	0.8
bob_dylan95	4	0.3333333333
bob_dylan96	15	1.875
bob_dylan97	1	0.0384615385
bob_dylan98	11	1.5714285714
bob_dylan99	10	1.25
bob_marley1	24	1
bob_marley10	-29	-1.2083333333
bob_marley11	15	1.3636363636
bob_marley12	3	0.5
bob_marley13	27	1.2857142857
bob_marley14	-51	-0.6296296296
bob_marley15	-7	-0.2413793103
bob_marley16	1	0.04
bob_marley17	-47	-0.8545454545
bob_marley18	-4	-0.2222222222
bob_marley19	-9	-0.3103448276
bob_marley2	6	0.1764705882
bob_marley20	23	0.8846153846
bob_marley21	-8	-0.4444444444
bob_marley22	9	1.8
bob_marley23	-22	-0.6470588235
bob_marley24	-36	-0.9230769231
bob_marley25	11	1.2222222222
bob_marley26	4	0.1904761905
bob_marley27	-12	-0.4615384615
bob_marley28	1	0.0454545455
bob_marley29	11	0.55
bob_marley3	5	0.2777777778
bob_marley30	9	0.5625
bob_marley31	46	1.2105263158
bob_marley32	83	1.1690140845
bob_marley33	114	2.375
bob_marley34	-32	-1.7777777778
bob_marley35	37	1.15625
bob_marley36	113	1.9824561404
bob_marley37	71	1.9722222222
bob_marley38	-8	-0.6153846154
bob_marley39	35	1.25
bob_marley4	39	1.3928571429
bob_marley40	39	0.6724137931
bob_marley41	-19	-1
bob_marley42	-51	-1.2142857143
bob_marley5	11	0.5
bob_marley6	-6	-1
bob_marley7	18	1.2857142857
bob_marley8	-21	-0.75
bob_marley9	15	0.8333333333
fiona_apple1	26	0.9285714286
fiona_apple10	-13	-0.8125
fiona_apple11	7	0.2058823529
fiona_apple12	9	1
fiona_apple13	-20	-0.7407407407
fiona_apple14	2	0.2
fiona_apple15	8	0.380952381
fiona_apple16	4	0.1081081081
fiona_apple17	37	1.2333333333
fiona_apple18	16	1.6
fiona_apple19	19	1.0555555556
fiona_apple2	-4	-0.4444444444
fiona_apple20	3	0.1666666667
fiona_apple21	8	1.3333333333
fiona_apple22	27	0.6428571429
fiona_apple23	10	0.7692307692
fiona_apple24	44	1.0731707317
fiona_apple25	-18	-0.6923076923
fiona_apple26	13	0.8125
fiona_apple27	-42	-0.6268656716
fiona_apple28	-5	-0.2173913043
fiona_apple29	6	0.24
fiona_apple3	9	0.6923076923
fiona_apple30	-15	-1.3636363636
fiona_apple31	-19	-0.9047619048
fiona_apple32	1	0.1428571429
fiona_apple4	-11	-0.55
fiona_apple5	9	0.4090909091
fiona_apple6	10	0.4
