suicide-class	passive/tok	passive/typ	passive/time	(“I” + mental-verb)/time	neut/typ	diff between sums across all n-grams	% non-suicide 2-grams	% non-suicide 4-grams	diff for 1-gram %s	diff for 2-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages	det/token
non-suicide	0	0	0	0	0.28	-0.0198261756	0.0544217687	0.0050761421	0.0273972603	-0.0204081633	0.021294619	-0.0033043626	0.0277777778
non-suicide	0.019650655	0.036437247	0.0179282869	0.0258964143	0.0728744939	0.0083048387	0.0550847458	0.0018621974	0.0384615385	-0.0169491525	0.0210994999	0.0013841398	0.0904059041
non-suicide	0.0215311005	0.0508474576	0.034351145	0.0114503817	0.2372881356	0.0049232195	0.0546448087	0.0023419204	-0.012345679	0.0027322404	0.023367658	0.0008205366	0.0695652174
non-suicide	0.0153846154	0.0394736842	0.0178571429	0	0.1578947368	-0.0345520752	0.056	0.0063694268	-0.0133333333	-0.008	0.0182031236	-0.0057586792	0.1031390135
non-suicide	0	0	0	0	0.075	-0.0498083049	0.062992126	0	-0.0384615385	-0.0393700787	0.0268403272	-0.0083013842	0.1153846154
non-suicide	0.0142045455	0.0306748466	0.0182481752	0.0072992701	0.1533742331	0.0388775129	0.0366972477	0.0026385224	0.0316455696	0.0152905199	0.0128822169	0.0064795855	0.0541237113
non-suicide	0.0307692308	0.0833333333	0.038647343	0.0144927536	0.21875	-0.1054593042	0.0988372093	0.012605042	0.010989011	-0.0697674419	0.0294137457	-0.0175765507	0.0479233227
non-suicide	0	0	0	0.020979021	0.0608695652	-0.1228214679	0.0842696629	0.0153061224	-0.0092592593	-0.0617977528	0.0314493593	-0.0204702446	0.055
non-suicide	0.0064829822	0.0203045685	0.0096385542	0.0192771084	0.0862944162	0.0222800651	0.0298102981	0.002004008	0.0168539326	0.0162601626	0.0181774329	0.0037133442	0.1126961484
non-suicide	0.0068027211	0.0163934426	0.0090909091	0.0136363636	0.1147540984	-0.1163579294	0.0818181818	0.0182481752	-0.0267857143	-0.0363636364	0.0324312266	-0.0193929882	0.0439882698
non-suicide	0.015936255	0.0273972603	0.0132013201	0.0099009901	0.0479452055	0.0050268714	0.0392156863	0.0108695652	0.0444444444	0.0078431373	0.0205720056	0.0008378119	0.0925266904
