file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.1.txt	-0.0419239465	0.0684931507	0.0612244898	0.0108695652	0.0050761421	0	0	0.0410958904	0.0816326531	0.0597826087	0.0050761421	0	0	0.0273972603	-0.0204081633	-0.0489130435	0	0	0	0.0242772246	0.0312645491	-0.0069873244
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.10.txt	-0.009298063	0.0854700855	0.0572033898	0.0283018868	0.0018621974	0	0	0.047008547	0.0805084746	0.0471698113	0.0074487896	0	0	0.0384615385	-0.0233050847	-0.0188679245	-0.0055865922	0	0	0.0288062599	0.0303559371	-0.0015496772
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.100.txt	-0.0268065382	0.037037037	0.087431694	0.0655339806	0.0210772834	0.00456621	0.002247191	0.049382716	0.1038251366	0.072815534	0.0163934426	0.002283105	0	-0.012345679	-0.0163934426	-0.0072815534	0.0046838407	0.002283105	0.002247191	0.036315566	0.0407833224	-0.0044677564
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.101.txt	-0.0837701465	0.0266666667	0.072	0.0342465753	0.0191082803	0.012195122	0.0058479532	0.04	0.16	0.0410958904	0.0127388535	0	0	-0.0133333333	-0.088	-0.0068493151	0.0063694268	0.012195122	0.0058479532	0.0283440996	0.0423057907	-0.0139616911
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.102.txt	-0.0401250629	0.0384615385	0.062992126	0.0563380282	0.0137931034	0	0	0.0769230769	0.0787401575	0.0422535211	0.0137931034	0	0	-0.0384615385	-0.0157480315	0.014084507	0	0	0	0.028597466	0.0352849765	-0.0066875105
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.103.txt	0.0100368575	0.0506329114	0.0764525994	0.0352303523	0.0026385224	0	0	0.0189873418	0.0764525994	0.054200542	0.0052770449	0	0	0.0316455696	0	-0.0189701897	-0.0026385224	0	0	0.0274923976	0.025819588	0.0016728096
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.104.txt	-0.1284040808	0.032967033	0.0697674419	0.04784689	0.0210084034	0.0078740157	0	0.021978022	0.1686046512	0.1004784689	0.0168067227	0	0	0.010989011	-0.0988372093	-0.0526315789	0.0042016807	0.0078740157	0	0.0299106306	0.0513113108	-0.0214006801
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.105.txt	-0.229840118	0.0277777778	0.0393258427	0.0364583333	0	0	0	0.037037037	0.1460674157	0.1145833333	0.0306122449	0.0051020408	0	-0.0092592593	-0.106741573	-0.078125	-0.0306122449	-0.0051020408	0	0.0172603256	0.055567012	-0.0383066863
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.106.txt	0.0139752685	0.0786516854	0.1056910569	0.0242825607	0.004008016	0	0	0.0617977528	0.1002710027	0.0286975717	0.006012024	0.0018796992	0	0.0168539326	0.0054200542	-0.004415011	-0.002004008	-0.0018796992	0	0.0354388865	0.0331096751	0.0023292114
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.107.txt	-0.2077721278	0.0178571429	0.0772727273	0.0347490347	0.0109489051	0.0035460993	0	0.0446428571	0.1636363636	0.0965250965	0.0437956204	0.0035460993	0	-0.0267857143	-0.0863636364	-0.0617760618	-0.0328467153	0	0	0.0240623182	0.0586910062	-0.034628688
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.108.txt	-0.0216484141	0.0740740741	0.0941176471	0.0146520147	0	0	0	0.0296296296	0.1019607843	0.0402930403	0.0108695652	0.0108695652	0.0108695652	0.0444444444	-0.0078431373	-0.0256410256	-0.0108695652	-0.0108695652	-0.0108695652	0.030473956	0.034082025	-0.003608069
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.109.txt	-0.2065395072	0.012345679	0.0447761194	0.0273972603	0.0067114094	0	0	0.024691358	0.1641791045	0.0753424658	0.0268456376	0.0067114094	0	-0.012345679	-0.1194029851	-0.0479452055	-0.0201342282	-0.0067114094	0	0.015205078	0.0496283292	-0.0344232512
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.11.txt	0.0309678028	0.0425531915	0.1111111111	0.0432432432	0.0098522167	0	0	0.0212765957	0.0864197531	0.0540540541	0.0049261084	0.0046511628	0.0044642857	0.0212765957	0.024691358	-0.0108108108	0.0049261084	-0.0046511628	-0.0044642857	0.0344599604	0.02929866	0.0051613005
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.110.txt	-0.3536409466	0	0.0285714286	0.05	0.0235294118	0.0112359551	0	0.0227272727	0.1571428571	0.125	0.1176470588	0.0337078652	0.0107526882	-0.0227272727	-0.1285714286	-0.075	-0.0941176471	-0.0224719101	-0.0107526882	0.0188894659	0.0778296237	-0.0589401578
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.111.txt	-0.1331989144	0.012295082	0.0671506352	0.0414746544	0.0160349854	0.0043041607	0	0.0614754098	0.1161524501	0.0706605223	0.0218658892	0.0043041607	0	-0.0491803279	-0.0490018149	-0.0291858679	-0.0058309038	0	0	0.0235432529	0.045743072	-0.0221998191
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.112.txt	-0.1193371393	0.0161290323	0.0476190476	0.0245901639	0.0305343511	0.0071942446	0	0.0483870968	0.1238095238	0.0655737705	0.0076335878	0	0	-0.0322580645	-0.0761904762	-0.0409836066	0.0229007634	0.0071942446	0	0.0210111399	0.0409006631	-0.0198895232
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.113.txt	-0.1295842995	0.0532786885	0.0483870968	0.024911032	0.0102214651	0.0016778523	0	0.0901639344	0.1108870968	0.0533807829	0.0136286201	0	0	-0.0368852459	-0.0625	-0.0284697509	-0.003407155	0.0016778523	0	0.0230793558	0.044676739	-0.0215973832
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.114.txt	-0.0136528297	0.0465116279	0.0794979079	0.0339622642	0.0183150183	0.0071942446	0.0035460993	0.0620155039	0.0920502092	0.0339622642	0.0146520147	0	0	-0.015503876	-0.0125523013	0	0.0036630037	0.0071942446	0.0035460993	0.031504527	0.0337799986	-0.0022754716
