file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.1.txt	-0.0048527949	0.0684931507	0.0612244898	0.0054347826	0	0	0	0.0410958904	0.0612244898	0.0326086957	0.0050761421	0	0	0.0273972603	0	-0.027173913	-0.0050761421	0	0	0.0225254038	0.023334203	-0.0008087992
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.10.txt	-0.0076431222	0.0854700855	0.0550847458	0.0283018868	0.0018621974	0	0	0.047008547	0.0805084746	0.0433962264	0.0074487896	0	0	0.0384615385	-0.0254237288	-0.0150943396	-0.0055865922	0	0	0.0284531526	0.0297270063	-0.0012738537
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.100.txt	-0.0123286955	0.037037037	0.0846994536	0.0631067961	0.0210772834	0.00456621	0.002247191	0.049382716	0.1010928962	0.0582524272	0.0140515222	0.002283105	0	-0.012345679	-0.0163934426	0.0048543689	0.0070257611	0.002283105	0.002247191	0.0354556619	0.0375104444	-0.0020547826
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.101.txt	-0.075689189	0.0266666667	0.072	0.0342465753	0.0127388535	0.006097561	0.0058479532	0.04	0.16	0.0205479452	0.0127388535	0	0	-0.0133333333	-0.088	0.0136986301	0	0.006097561	0.0058479532	0.0262662683	0.0388811331	-0.0126148648
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.102.txt	-0.0191440041	0.0384615385	0.062992126	0.0563380282	0.0137931034	0	0	0.0769230769	0.0787401575	0.0281690141	0.0068965517	0	0	-0.0384615385	-0.0157480315	0.0281690141	0.0068965517	0	0	0.028597466	0.0317881334	-0.0031906674
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.103.txt	0.0292836194	0.0506329114	0.0703363914	0.0325203252	0.0026385224	0	0	0.0189873418	0.0672782875	0.0379403794	0.0026385224	0	0	0.0316455696	0.003058104	-0.0054200542	0	0	0	0.0260213584	0.0211407552	0.0048806032
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.104.txt	-0.0764401329	0.032967033	0.0697674419	0.04784689	0.0168067227	0.0078740157	0	0.021978022	0.1453488372	0.0717703349	0.012605042	0	0	0.010989011	-0.0755813953	-0.023923445	0.0042016807	0.0078740157	0	0.0292103505	0.0419503727	-0.0127400222
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.105.txt	-0.1986964105	0.0277777778	0.0337078652	0.0364583333	0	0	0	0.037037037	0.1404494382	0.0885416667	0.0255102041	0.0051020408	0	-0.0092592593	-0.106741573	-0.0520833333	-0.0255102041	-0.0051020408	0	0.016323996	0.0494400645	-0.0331160684
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.106.txt	0.020597785	0.0786516854	0.1029810298	0.0242825607	0.004008016	0	0	0.0617977528	0.0975609756	0.0220750552	0.006012024	0.0018796992	0	0.0168539326	0.0054200542	0.0022075055	-0.002004008	-0.0018796992	0	0.0349872153	0.0315542512	0.0034329642
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.107.txt	-0.1897856656	0.0178571429	0.0727272727	0.0308880309	0.0109489051	0.0035460993	0	0.0446428571	0.1636363636	0.0810810811	0.0328467153	0.0035460993	0	-0.0267857143	-0.0909090909	-0.0501930502	-0.0218978102	0	0	0.0226612418	0.0542921861	-0.0316309443
