file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.1.txt	-0.0361305234	0.0684931507	0.0612244898	0.0054347826	0	0	0	0.0410958904	0.0816326531	0.0434782609	0.0050761421	0	0	0.0273972603	-0.0204081633	-0.0380434783	-0.0050761421	0	0	0.0225254038	0.0285471577	-0.0060217539
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.10.txt	-0.0055244781	0.0854700855	0.0572033898	0.0283018868	0.0018621974	0	0	0.047008547	0.0805084746	0.0433962264	0.0074487896	0	0	0.0384615385	-0.0233050847	-0.0150943396	-0.0055865922	0	0	0.0288062599	0.0297270063	-0.0009207463
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.100.txt	-0.0099015111	0.037037037	0.087431694	0.0655339806	0.0210772834	0.00456621	0.002247191	0.049382716	0.1038251366	0.0582524272	0.0140515222	0.002283105	0	-0.012345679	-0.0163934426	0.0072815534	0.0070257611	0.002283105	0.002247191	0.036315566	0.0379658179	-0.0016502518
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.101.txt	-0.075689189	0.0266666667	0.072	0.0342465753	0.0127388535	0.006097561	0.0058479532	0.04	0.16	0.0205479452	0.0127388535	0	0	-0.0133333333	-0.088	0.0136986301	0	0.006097561	0.0058479532	0.0262662683	0.0388811331	-0.0126148648
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.102.txt	-0.0191440041	0.0384615385	0.062992126	0.0563380282	0.0137931034	0	0	0.0769230769	0.0787401575	0.0281690141	0.0068965517	0	0	-0.0384615385	-0.0157480315	0.0281690141	0.0068965517	0	0	0.028597466	0.0317881334	-0.0031906674
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.103.txt	0.0289355425	0.0506329114	0.0764525994	0.0352303523	0.0026385224	0	0	0.0189873418	0.0764525994	0.0379403794	0.0026385224	0	0	0.0316455696	0	-0.0027100271	0	0	0	0.0274923976	0.0226698072	0.0048225904
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.104.txt	-0.1230363835	0.032967033	0.0697674419	0.04784689	0.0168067227	0.0078740157	0	0.021978022	0.1686046512	0.0909090909	0.0168067227	0	0	0.010989011	-0.0988372093	-0.043062201	0	0.0078740157	0	0.0292103505	0.0497164145	-0.0205060639
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.105.txt	-0.2090067847	0.0277777778	0.0393258427	0.0364583333	0	0	0	0.037037037	0.1460674157	0.09375	0.0306122449	0.0051020408	0	-0.0092592593	-0.106741573	-0.0572916667	-0.0306122449	-0.0051020408	0	0.0172603256	0.0520947897	-0.0348344641
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.106.txt	0.016182774	0.0786516854	0.1056910569	0.0242825607	0.004008016	0	0	0.0617977528	0.1002710027	0.0264900662	0.006012024	0.0018796992	0	0.0168539326	0.0054200542	-0.0022075055	-0.002004008	-0.0018796992	0	0.0354388865	0.0327417575	0.002697129
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.107.txt	-0.1852402111	0.0178571429	0.0772727273	0.0308880309	0.0109489051	0.0035460993	0	0.0446428571	0.1636363636	0.0810810811	0.0328467153	0.0035460993	0	-0.0267857143	-0.0863636364	-0.0501930502	-0.0218978102	0	0	0.0234188176	0.0542921861	-0.0308733685
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.108.txt	-0.0179854104	0.0740740741	0.0941176471	0.0146520147	0	0	0	0.0296296296	0.1019607843	0.0366300366	0.0108695652	0.0108695652	0.0108695652	0.0444444444	-0.0078431373	-0.021978022	-0.0108695652	-0.0108695652	-0.0108695652	0.030473956	0.0334715244	-0.0029975684
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.109.txt	-0.1996901921	0.012345679	0.0447761194	0.0273972603	0.0067114094	0	0	0.024691358	0.1641791045	0.0684931507	0.0268456376	0.0067114094	0	-0.012345679	-0.1194029851	-0.0410958904	-0.0201342282	-0.0067114094	0	0.015205078	0.0484867767	-0.0332816987
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.11.txt	0.0255623974	0.0425531915	0.1111111111	0.0378378378	0.0098522167	0	0	0.0212765957	0.0864197531	0.0540540541	0.0049261084	0.0046511628	0.0044642857	0.0212765957	0.024691358	-0.0162162162	0.0049261084	-0.0046511628	-0.0044642857	0.0335590595	0.02929866	0.0042603996
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.110.txt	-0.3063755798	0	0.0285714286	0.05	0.0235294118	0.0112359551	0	0.0227272727	0.1571428571	0.1125	0.0941176471	0.0224719101	0.0107526882	-0.0227272727	-0.1285714286	-0.0625	-0.0705882353	-0.0112359551	-0.0107526882	0.0188894659	0.0699520625	-0.0510625966
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.111.txt	-0.1240606969	0.012295082	0.0671506352	0.0399385561	0.0160349854	0.0043041607	0	0.0614754098	0.1161524501	0.0614439324	0.0204081633	0.0043041607	0	-0.0491803279	-0.0490018149	-0.0215053763	-0.0043731778	0	0	0.0232872366	0.0439640194	-0.0206767828
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.112.txt	-0.1105772845	0.0161290323	0.0476190476	0.0245901639	0.0229007634	0.0071942446	0	0.0483870968	0.1238095238	0.0491803279	0.0076335878	0	0	-0.0322580645	-0.0761904762	-0.0245901639	0.0152671756	0.0071942446	0	0.0197388753	0.0381684227	-0.0184295474
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.113.txt	-0.1260255806	0.0532786885	0.0483870968	0.024911032	0.0102214651	0.0016778523	0	0.0901639344	0.1108870968	0.0498220641	0.0136286201	0	0	-0.0368852459	-0.0625	-0.024911032	-0.003407155	0.0016778523	0	0.0230793558	0.0440836192	-0.0210042634
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.114.txt	-0.0062162411	0.0465116279	0.0794979079	0.0339622642	0.0183150183	0.0071942446	0.0035460993	0.0620155039	0.0920502092	0.0301886792	0.010989011	0	0	-0.015503876	-0.0125523013	0.0037735849	0.0073260073	0.0071942446	0.0035460993	0.031504527	0.0325405672	-0.0010360402
