file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.1.txt	0.0750604753	0.0449438202	0.0884353741	0.0709677419	0.0253164557	0.00625	0	0.0337078652	0.0884353741	0.0387096774	0	0	0	0.0112359551	0	0.0322580645	0.0253164557	0.00625	0	0.0393188987	0.0268088195	0.0125100792
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.10.txt	-0.0107030086	0.0416666667	0.0657894737	0.0243902439	0.0229885057	0	0	0	0.1052631579	0.0487804878	0.0114942529	0	0	0.0416666667	-0.0394736842	-0.0243902439	0.0114942529	0	0	0.025805815	0.0275896498	-0.0017838348
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.11.txt	-0.1614918243	0.018018018	0.0540540541	0.0050505051	0.0098522167	0	0	0.0720720721	0.0810810811	0.0707070707	0.0197044335	0.0049019608	0	-0.0540540541	-0.027027027	-0.0656565657	-0.0098522167	-0.0049019608	0	0.014495799	0.041411103	-0.026915304
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.12.txt	-0.089592675	0.0543478261	0.0714285714	0.0303030303	0	0	0	0.0326086957	0.1103896104	0.0909090909	0.0117647059	0	0	0.0217391304	-0.038961039	-0.0606060606	-0.0117647059	0	0	0.026013238	0.0409453505	-0.0149321125
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.13.txt	-0.2097523075	0.0471698113	0.0473684211	0.0390243902	0.0047169811	0	0	0.1132075472	0.0947368421	0.1024390244	0.0330188679	0.0046296296	0	-0.0660377358	-0.0473684211	-0.0634146341	-0.0283018868	-0.0046296296	0	0.0230466006	0.0580053185	-0.0349587179
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.14.txt	-0.1300736677	0	0.0425531915	0.0792079208	0.0485436893	0.0096153846	0	0.0655737705	0.1063829787	0.1089108911	0.0291262136	0	0	-0.0655737705	-0.0638297872	-0.0297029703	0.0194174757	0.0096153846	0	0.0299866977	0.0516656423	-0.0216789446
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.15.txt	0.0051341366	0.0405405405	0.0714285714	0.0608695652	0	0	0	0	0.0982142857	0.0608695652	0.0086206897	0	0	0.0405405405	-0.0267857143	0	-0.0086206897	0	0	0.0288064462	0.0279507568	0.0008556894
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.16.txt	-0.0766377207	0.0307692308	0.0884955752	0.0564516129	0	0	0	0.0615384615	0.0796460177	0.0725806452	0.0234375	0.0151515152	0	-0.0307692308	0.0088495575	-0.0161290323	-0.0234375	-0.0151515152	0	0.0292860698	0.0420590233	-0.0127729534
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.17.txt	-0.0254175285	0.0675675676	0.0277777778	0.025862069	0.0168067227	0.0083333333	0	0.027027027	0.1018518519	0.0344827586	0.0084033613	0	0	0.0405405405	-0.0740740741	-0.0086206897	0.0084033613	0.0083333333	0	0.0243912451	0.0286274998	-0.0042362548
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.18.txt	-0.1112683584	0.0579710145	0.0093457944	0.0085470085	0	0	0	0.0434782609	0.0841121495	0.0427350427	0.0168067227	0	0	0.0144927536	-0.0747663551	-0.0341880342	-0.0168067227	0	0	0.0126439696	0.031188696	-0.0185447264
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.19.txt	-0.0399462944	0.0508474576	0.0581395349	0.0666666667	0.0108695652	0	0	0.0338983051	0.1046511628	0.0222222222	0.0326086957	0.021978022	0.0111111111	0.0169491525	-0.0465116279	0.0444444444	-0.0217391304	-0.021978022	-0.0111111111	0.0310872041	0.0377449198	-0.0066577157
