% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (285 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Fiona Apple (32 songs)
%			4. Mike Ness (43 songs)
%			5. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	typ/tok	numeric
@ATTRIBUTE	typ/time	numeric
@ATTRIBUTE	tok/time	numeric
@ATTRIBUTE	1p/typ	numeric
@ATTRIBUTE	1p/tok	numeric
@ATTRIBUTE	1p/time	numeric
@ATTRIBUTE	1ps/typ	numeric
@ATTRIBUTE	1ps/tok	numeric
@ATTRIBUTE	1ps/time	numeric
@ATTRIBUTE	(1PS+.01)/(1PP+.01)	numeric
@ATTRIBUTE	2+3p/typ	numeric
@ATTRIBUTE	2+3p/tok	numeric
@ATTRIBUTE	2+3p/time	numeric
@ATTRIBUTE	1P/2-3P_(+.01)	numeric
@ATTRIBUTE	LN(1P/2-3P_(+.01))	numeric
@ATTRIBUTE	1PS/2-3P_(+.01)	numeric
@ATTRIBUTE	LN(1PS/2-3P_(+.01))	numeric
@ATTRIBUTE	1PS/All_Other_Pronouns_(+.01)	numeric
@ATTRIBUTE	LN(1PS/All_Other_Pronouns_(+.01))	numeric
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/tok	numeric
@ATTRIBUTE	(I+mental-verb)/typ	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neg/tok	numeric
@ATTRIBUTE	neg/typ	numeric
@ATTRIBUTE	neg/time	numeric
@ATTRIBUTE	neut/tok	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	neut/time	numeric
@ATTRIBUTE	pos/tok	numeric
@ATTRIBUTE	pos/typ	numeric
@ATTRIBUTE	pos/time	numeric
@ATTRIBUTE	neg/pos_(+.01)	numeric
@ATTRIBUTE	ln(neg/pos_(+.01))	numeric
@ATTRIBUTE	neg/polar	numeric
@ATTRIBUTE	pos/polar	numeric
@ATTRIBUTE	sensual/tok	numeric
@ATTRIBUTE	sensual/typ	numeric
@ATTRIBUTE	sensual/time	numeric
@ATTRIBUTE	sensual/pos_(+.01)	numeric
@ATTRIBUTE	LN(sensual/pos_(+.01))	numeric
@ATTRIBUTE	sensual/neg_(+.01)	numeric
@ATTRIBUTE	LN(sensual/neg_(+.01))	numeric
@ATTRIBUTE	actionVerb/tok	numeric
@ATTRIBUTE	actionVerb/typ	numeric
@ATTRIBUTE	actionVerb/time	numeric
@ATTRIBUTE	concreteNoun/tok	numeric
@ATTRIBUTE	concreteNoun/typ	numeric
@ATTRIBUTE	concreteNoun/time	numeric
@ATTRIBUTE	death/tok	numeric
@ATTRIBUTE	death/typ	numeric
@ATTRIBUTE	death/time	numeric
@ATTRIBUTE	drug/tok	numeric
@ATTRIBUTE	drug/typ	numeric
@ATTRIBUTE	drug/time	numeric
@ATTRIBUTE	love/tok	numeric
@ATTRIBUTE	love/typ	numeric
@ATTRIBUTE	love/time	numeric
@ATTRIBUTE	depression/tok	numeric
@ATTRIBUTE	depression/typ	numeric
@ATTRIBUTE	depression/time	numeric
@ATTRIBUTE	total_polar_value	numeric
@ATTRIBUTE	average_polar_value	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_suicide_1-grams	numeric
@ATTRIBUTE	percent_suicide_2-grams	numeric
@ATTRIBUTE	percent_suicide_3-grams	numeric
@ATTRIBUTE	percent_suicide_4-grams	numeric
@ATTRIBUTE	percent_suicide_5-grams	numeric
@ATTRIBUTE	percent_suicide_6-grams	numeric
@ATTRIBUTE	percent_non-suicide_1-grams	numeric
@ATTRIBUTE	percent_non-suicide_2-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	percent_non-suicide_5-grams	numeric
@ATTRIBUTE	percent_non-suicide_6-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	diff_for_2-gram_percentages	numeric
@ATTRIBUTE	diff_for_3-gram_percentages	numeric
@ATTRIBUTE	diff_for_4-gram_percentages	numeric
@ATTRIBUTE	diff_for_5-gram_percentages	numeric
@ATTRIBUTE	diff_for_6-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_suicide	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric

@DATA
non-suicide,0.306122449,0.3073770492,1.0040983607,0.2266666667,0.0693877551,0.0696721311,0.2266666667,0.0693877551,0.0696721311,1701,0.5466666667,0.1673469388,0.1680327869,0.4147768837,-0.880014533,0.4147768837,-0.880014533,0.4147768837,-0.880014533,0,0,0,0,0,0,0.106122449,0.3466666667,0.106557377,0.0857142857,0.28,0.0860655738,0.1306122449,0.4266666667,0.131147541,0.8125585754,-0.2075672745,0.4482758621,0.5517241379,0.0653061224,0.2133333333,0.0655737705,0.5001562012,-0.692834827,0.6155324875,-0.4852675525,0.0285714286,0.0933333333,0.0286885246,0.1265306122,0.4133333333,0.1270491803,0.0530612245,0.1733333333,0.0532786885,0.012244898,0.04,0.012295082,0.0816326531,0.2666666667,0.0819672131,0.0367346939,0.12,0.0368852459,-1,-0.0434782609,-0.0023823705,0.0684931507,0.0612244898,0.0108695652,0.0050761421,0,0,0.0273972603,0.0612244898,0.0543478261,0.0050761421,0,0,0.0410958904,0,-0.0434782609,0,0,0,0.0242772246,0.0246742864,-0.0003970617
non-suicide,0.53930131,0.4920318725,0.9123505976,0.1214574899,0.0655021834,0.0597609562,0.1174089069,0.0633187773,0.0577689243,28.7227722772,0.1659919028,0.0895196507,0.0816733068,0.7317727384,-0.31228528,0.7073884418,-0.3461753413,0.6905498691,-0.370267087,0.019650655,0.036437247,0.0179282869,0.0283842795,0.0526315789,0.0258964143,0.076419214,0.1417004049,0.0697211155,0.03930131,0.0728744939,0.0358565737,0.0895196507,0.1659919028,0.0816733068,0.8536942209,-0.1581822044,0.4605263158,0.5394736842,0.03930131,0.0728744939,0.0358565737,0.4391611802,-0.8228887802,0.5144244502,-0.6647065758,0.0043668122,0.008097166,0.0039840637,0.1222707424,0.2267206478,0.1115537849,0.0218340611,0.04048583,0.0199203187,0.0087336245,0.016194332,0.0079681275,0.056768559,0.1052631579,0.0517928287,0.0524017467,0.0971659919,0.0478087649,-5,-0.1111111111,-0.0221185758,0.0726495726,0.0572033898,0.0283018868,0.0018621974,0,0,0.047008547,0.0805084746,0.0471698113,0.0074487896,0,0,0.0256410256,-0.0233050847,-0.0188679245,-0.0055865922,0,0,0.0266695078,0.0303559371,-0.0036864293
non-suicide,0.4234449761,0.6755725191,1.5954198473,0.2372881356,0.1004784689,0.1603053435,0.2203389831,0.0933014354,0.1488549618,12.9601328904,0.2146892655,0.0909090909,0.1450381679,1.1052354644,0.1000584022,1.0263088661,0.0259687405,0.951231407,-0.0499979159,0.0215311005,0.0508474576,0.034351145,0.0071770335,0.0169491525,0.0114503817,0.0741626794,0.1751412429,0.1183206107,0.1004784689,0.2372881356,0.1603053435,0.0861244019,0.2033898305,0.1374045802,0.8611496806,-0.1494869445,0.4626865672,0.5373134328,0.0502392344,0.1186440678,0.0801526718,0.5834490419,-0.5387981628,0.6775233796,-0.3893112183,0.004784689,0.011299435,0.0076335878,0.1220095694,0.2881355932,0.1946564885,0.0717703349,0.1694915254,0.1145038168,0.0071770335,0.0169491525,0.0114503817,0.0909090909,0.2146892655,0.1450381679,0.0645933014,0.1525423729,0.1030534351,43,1.2647058824,-0.0354065622,0.024691358,0.0846994536,0.0631067961,0.0210772834,0.00456621,0.002247191,0.0432098765,0.1010928962,0.072815534,0.0163934426,0.002283105,0,-0.0185185185,-0.0163934426,-0.0097087379,0.0046838407,0.002283105,0.002247191,0.0333980487,0.0392991424,-0.0059010937
non-suicide,0.3897435897,0.4523809524,1.1607142857,0.0394736842,0.0153846154,0.0178571429,0.0394736842,0.0153846154,0.0178571429,301,0.1578947368,0.0615384615,0.0714285714,0.2506244796,-1.3837995573,0.2506244796,-1.3837995573,0.2506244796,-1.3837995573,0.0153846154,0.0394736842,0.0178571429,0,0,0,0.0769230769,0.1973684211,0.0892857143,0.0615384615,0.1578947368,0.0714285714,0.0769230769,0.1973684211,0.0892857143,1,0,0.5,0.5,0.0102564103,0.0263157895,0.0119047619,0.1339107262,-2.0105819236,0.1339107262,-2.0105819236,0,0,0,0.2,0.5131578947,0.2321428571,0.0153846154,0.0394736842,0.0178571429,0,0,0,0.041025641,0.1052631579,0.0476190476,0.0307692308,0.0789473684,0.0357142857,0,0,-0.0971034798,0.0133333333,0.072,0.0342465753,0.0191082803,0.012195122,0.0058479532,0.04,0.16,0.0410958904,0.0127388535,0,0,-0.0266666667,-0.088,-0.0068493151,0.0063694268,0.012195122,0.0058479532,0.0261218773,0.0423057907,-0.0161839133
non-suicide,0.4848484848,0.396039604,0.8168316832,0.1375,0.0666666667,0.0544554455,0.1375,0.0666666667,0.0544554455,1101,0.1625,0.0787878788,0.0643564356,0.8462720984,-0.1669143418,0.8462720984,-0.1669143418,0.8462720984,-0.1669143418,0,0,0,0,0,0,0.0909090909,0.1875,0.0742574257,0.0363636364,0.075,0.0297029703,0.0848484848,0.175,0.0693069307,1.0713775874,0.0689452853,0.5172413793,0.4827586207,0.0606060606,0.125,0.0495049505,0.7144896502,-0.336186767,0.6668887408,-0.4051320523,0,0,0,0.1333333333,0.275,0.1089108911,0.0121212121,0.025,0.0099009901,0,0,0,0.0787878788,0.1625,0.0643564356,0.0181818182,0.0375,0.0148514851,15,1.3636363636,-0.0144840373,0.0384615385,0.062992126,0.0563380282,0.0137931034,0,0,0.0512820513,0.0787401575,0.0422535211,0.0137931034,0,0,-0.0128205128,-0.0157480315,0.014084507,0,0,0,0.028597466,0.0310114722,-0.0024140062
non-suicide,0.4630681818,0.5948905109,1.2846715328,0.1411042945,0.0653409091,0.0839416058,0.1411042945,0.0653409091,0.0839416058,2301,0.3006134969,0.1392045455,0.1788321168,0.4694960212,-0.7560954549,0.4694960212,-0.7560954549,0.4694960212,-0.7560954549,0.0142045455,0.0306748466,0.0182481752,0.0056818182,0.0122699387,0.0072992701,0.1051136364,0.226993865,0.1350364964,0.0710227273,0.1533742331,0.0912408759,0.1079545455,0.2331288344,0.1386861314,0.9736911339,-0.0266611366,0.4933333333,0.5066666667,0.0397727273,0.0858895706,0.0510948905,0.3685872139,-0.9980779227,0.3785463388,-0.971416786,0.0028409091,0.0061349693,0.003649635,0.1590909091,0.3435582822,0.204379562,0.0426136364,0.0920245399,0.0547445255,0.0085227273,0.018404908,0.0109489051,0.0511363636,0.1104294479,0.0656934307,0.0397727273,0.0858895706,0.0510948905,-20,-0.5882352941,0.0009977165,0.0443037975,0.0703363914,0.0325203252,0.0026385224,0,0,0.0189873418,0.0703363914,0.054200542,0.0052770449,0,0,0.0253164557,0,-0.0216802168,-0.0026385224,0,0,0.0249665061,0.02480022,0.0001662861
non-suicide,0.3692307692,0.4637681159,1.2560386473,0.3645833333,0.1346153846,0.1690821256,0.3541666667,0.1307692308,0.1642512077,33.6732673267,0.125,0.0461538462,0.0579710145,2.9150707744,1.0698940989,2.8318068276,1.0409149629,2.6141429669,0.9609363065,0.0307692308,0.0833333333,0.038647343,0.0115384615,0.03125,0.0144927536,0.1076923077,0.2916666667,0.1352657005,0.0807692308,0.21875,0.1014492754,0.0807692308,0.21875,0.1014492754,1.3331746787,0.2875630744,0.5714285714,0.4285714286,0.0307692308,0.0833333333,0.038647343,0.3812470252,-0.9643077538,0.2859692967,-1.2518708282,0,0,0,0.1769230769,0.4791666667,0.2222222222,0.0423076923,0.1145833333,0.0531400966,0.0269230769,0.0729166667,0.0338164251,0.0923076923,0.25,0.115942029,0.05,0.1354166667,0.0628019324,-7,-0.35,-0.1003635779,0.021978022,0.0697674419,0.04784689,0.0210084034,0.0078740157,0,0.010989011,0.1453488372,0.0956937799,0.0168067227,0,0,0.010989011,-0.0755813953,-0.04784689,0.0042016807,0.0078740157,0,0.0280791288,0.0448063918,-0.016727263
non-suicide,0.6497175141,0.8041958042,1.2377622378,0.1739130435,0.1129943503,0.1398601399,0.1739130435,0.1129943503,0.1398601399,2001,0.0869565217,0.0564971751,0.0699300699,1.999000999,0.6926475553,1.999000999,0.6926475553,1.999000999,0.6926475553,0,0,0,0.0169491525,0.0260869565,0.020979021,0.1016949153,0.1565217391,0.1258741259,0.0395480226,0.0608695652,0.048951049,0.0677966102,0.1043478261,0.0839160839,1.4995836803,0.4051875231,0.6,0.4,0.0169491525,0.0260869565,0.020979021,0.2506244796,-1.3837995573,0.1671293726,-1.7889870804,0.0056497175,0.0086956522,0.006993007,0.2259887006,0.347826087,0.2797202797,0.0621468927,0.0956521739,0.0769230769,0.0282485876,0.0434782609,0.034965035,0.0508474576,0.0782608696,0.0629370629,0.0564971751,0.0869565217,0.0699300699,3,0.2142857143,-0.2334813997,0.0185185185,0.0393258427,0.0364583333,0,0,0,0.037037037,0.1404494382,0.1145833333,0.0306122449,0.0051020408,0,-0.0185185185,-0.1011235955,-0.078125,-0.0306122449,-0.0051020408,0,0.0157171158,0.0546306824,-0.0389135666
non-suicide,0.319286872,0.4746987952,1.486746988,0.2335025381,0.074554295,0.1108433735,0.2335025381,0.074554295,0.1108433735,4601,0.2335025381,0.074554295,0.1108433735,1,0,1,0,1,0,0.0064829822,0.0203045685,0.0096385542,0.0129659643,0.0406091371,0.0192771084,0.1150729335,0.3604060914,0.1710843373,0.0275526742,0.0862944162,0.0409638554,0.0761750405,0.2385786802,0.113253012,1.5105296745,0.4124603672,0.6016949153,0.3983050847,0.0502431118,0.1573604061,0.0746987952,0.6596468836,-0.4160506119,0.4366990565,-0.8285109791,0,0,0,0.1669367909,0.5228426396,0.2481927711,0.017828201,0.0558375635,0.0265060241,0.0097244733,0.0304568528,0.0144578313,0.056726094,0.1776649746,0.0843373494,0.0858995138,0.269035533,0.1277108434,-54,-1.1739130435,0.0071543245,0.0674157303,0.1029810298,0.0242825607,0.004008016,0,0,0.0617977528,0.0975609756,0.0242825607,0.006012024,0.0018796992,0,0.0056179775,0.0054200542,0,-0.002004008,-0.0018796992,0,0.0331145561,0.0319221687,0.0011923874
non-suicide,0.4149659864,0.5545454545,1.3363636364,0.1967213115,0.0816326531,0.1090909091,0.1885245902,0.0782312925,0.1045454545,22.7821782178,0.2213114754,0.0918367347,0.1227272727,0.8889300259,-0.1177367576,0.8519067012,-0.1602782638,0.8214923242,-0.1966326852,0.0068027211,0.0163934426,0.0090909091,0.0102040816,0.0245901639,0.0136363636,0.0884353741,0.2131147541,0.1181818182,0.0476190476,0.1147540984,0.0636363636,0.0884353741,0.2131147541,0.1181818182,1,0,0.5,0.5,0.037414966,0.0901639344,0.05,0.4232987313,-0.8596771287,0.4232987313,-0.8596771287,0.0034013605,0.0081967213,0.0045454545,0.1666666667,0.4016393443,0.2227272727,0.0544217687,0.131147541,0.0727272727,0.0510204082,0.1229508197,0.0681818182,0.037414966,0.0901639344,0.05,0.0306122449,0.0737704918,0.0409090909,5,0.3846153846,-0.1809864135,0.0178571429,0.0772727273,0.0347490347,0.0109489051,0.0035460993,0,0.0178571429,0.1636363636,0.0965250965,0.0437956204,0.0035460993,0,0,-0.0863636364,-0.0617760618,-0.0328467153,0,0,0.0240623182,0.0542267205,-0.0301644022
