file	total polar value	average polar value
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.1.txt	-1	-0.0434782609
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.10.txt	-5	-0.1111111111
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.100.txt	43	1.2647058824
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.101.txt	0	0
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.102.txt	15	1.3636363636
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.103.txt	-20	-0.5882352941
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.104.txt	-7	-0.35
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.105.txt	3	0.2142857143
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.106.txt	-54	-1.1739130435
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.107.txt	5	0.3846153846
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.108.txt	18	1.0588235294
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.109.txt	-7	-1.75
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.11.txt	-13	-0.6842105263
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.110.txt	-3	-1
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.111.txt	-16	-0.5
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.112.txt	40	1.3793103448
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.113.txt	1	0.0416666667
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.114.txt	-3	-0.1578947368
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.115.txt	-16	-0.6956521739
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.116.txt	-30	-0.7142857143
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.117.txt	6	0.8571428571
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.118.txt	-13	-0.7647058824
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.119.txt	-28	-0.9655172414
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.12.txt	-2	-0.125
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.120.txt	16	0.8888888889
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.121.txt	3	0.25
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.122.txt	-41	-1.1081081081
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.123.txt	-30	-1.4285714286
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.13.txt	5	0.3571428571
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.14.txt	6	0.24
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.15.txt	-5	-0.625
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.16.txt	-2	-0.05
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.17.txt	-6	-0.2222222222
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.18.txt	14	0.8235294118
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.19.txt	31	0.8157894737
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.2.txt	5	0.625
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.20.txt	5	0.2631578947
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.21.txt	22	0.7857142857
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.22.txt	9	0.4090909091
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.23.txt	-1	-0.0666666667
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.24.txt	0	0
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.25.txt	5	0.1515151515
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.26.txt	8	0.380952381
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.27.txt	-4	-0.2666666667
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.28.txt	7	0.5
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.29.txt	-24	-0.4363636364
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.3.txt	2	0.2222222222
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.30.txt	-10	-0.4347826087
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.31.txt	12	1.0909090909
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.32.txt	15	0.306122449
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.33.txt	4	0.4
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.34.txt	0	0
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.35.txt	19	0.95
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.36.txt	-9	-0.3103448276
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.37.txt	4	0.5
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.38.txt	-15	-0.5
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.39.txt	28	1
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.4.txt	-12	-0.3243243243
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.40.txt	20	1.1111111111
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.41.txt	-8	-1.1428571429
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.42.txt	7	0.2333333333
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.43.txt	-21	-0.7
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.44.txt	-18	-0.6428571429
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.45.txt	-42	-0.724137931
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.46.txt	-11	-0.9166666667
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.47.txt	22	0.8148148148
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.48.txt	-14	-0.2978723404
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.49.txt	10	0.9090909091
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.5.txt	9	0.3913043478
