file	total polar value	average polar value
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.1.txt	6	0.4615384615
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.10.txt	-8	-1.3333333333
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.11.txt	-9	-0.75
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.12.txt	-3	-0.2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.13.txt	-6	-0.4615384615
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.14.txt	-15	-0.9375
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.15.txt	-10	-2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.16.txt	-15	-1.1538461539
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.17.txt	-20	-1.4285714286
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.18.txt	-1	-0.125
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.19.txt	0	0
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.2.txt	4	0.5
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.20.txt	-8	-1
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.21.txt	3	0.3
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.22.txt	24	1.2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.23.txt	26	2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.24.txt	-2	-0.1666666667
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.25.txt	0	0
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.26.txt	5	0.625
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.27.txt	12	0.8
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.28.txt	-5	-1.25
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.29.txt	1	1
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.3.txt	2	0.0909090909
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.30.txt	11	1.1
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.31.txt	-2	-0.2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.32.txt	1	0.1428571429
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.33.txt	-2	-0.1111111111
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.34.txt	28	2.1538461539
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.35.txt	-2	-0.5
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.36.txt	7	0.5833333333
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.37.txt	6	0.75
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.38.txt	-11	-0.6470588235
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.39.txt	3	0.2727272727
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.4.txt	4	0.5
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.40.txt	-2	-0.0588235294
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.41.txt	17	1.5454545455
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.42.txt	-10	-0.5555555556
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.43.txt	-3	-0.375
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.44.txt	-6	-0.75
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.45.txt	33	1.1379310345
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.46.txt	-1	-0.05
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.47.txt	12	0.6315789474
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.48.txt	-6	-1.2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.49.txt	1	0.0909090909
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.5.txt	-44	-1.8333333333
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.50.txt	-18	-0.75
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.51.txt	-13	-0.8125
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.52.txt	-2	-0.2
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.53.txt	-9	-0.6428571429
